"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"412270 Sabáudia";-;-;-;-;-;-
"412280 Salgado Filho";-;-;-;-;-;-
"412290 Salto do Itararé";-;-;-;-;-;-
"412300 Salto do Lontra";1;-;-;-;-;1
"412310 Santa Amélia";-;-;-;-;-;-
"412320 Santa Cecília do Pavão";-;-;-;-;-;-
"412330 Santa Cruz de Monte Castelo";-;-;-;-;-;-
"412340 Santa Fé";-;-;-;-;-;-
"412350 Santa Helena";-;-;-;-;-;-
"412360 Santa Inês";-;-;-;-;-;-
"412370 Santa Isabel do Ivaí";-;-;-;-;-;-
"412380 Santa Izabel do Oeste";-;-;-;-;-;-
"412382 Santa Lúcia";-;-;-;-;-;-
"412385 Santa Maria do Oeste";-;-;-;-;-;-
"412390 Santa Mariana";-;-;-;-;-;-
"412395 Santa Mônica";-;-;-;-;-;-
"412402 Santa Tereza do Oeste";-;-;-;-;-;-
"412405 Santa Terezinha de Itaipu";-;-;-;-;-;-
"412400 Santana do Itararé";-;-;-;-;-;-
"412410 Santo Antônio da Platina";3;-;10;-;-;13
"412420 Santo Antônio do Caiuá";-;-;-;-;-;-
"412430 Santo Antônio do Paraíso";-;-;-;-;-;-
"412440 Santo Antônio do Sudoeste";1;-;-;-;-;1
"412450 Santo Inácio";-;-;-;-;-;-
"412460 São Carlos do Ivaí";-;-;-;-;-;-
"412470 São Jerônimo da Serra";-;-;-;-;-;-
"412480 São João";-;-;-;-;-;-
"412490 São João do Caiuá";-;-;-;-;-;-
"412500 São João do Ivaí";-;-;-;-;-;-
"412510 São João do Triunfo";-;-;-;-;6;6
"412520 São Jorge d'Oeste";1;-;-;-;-;1
"412530 São Jorge do Ivaí";-;-;-;-;-;-
"412535 São Jorge do Patrocínio";-;-;-;-;-;-
"412540 São José da Boa Vista";-;-;-;-;-;-
"412545 São José das Palmeiras";-;-;-;-;-;-
"412550 São José dos Pinhais";-;9;-;10;-;19
"412555 São Manoel do Paraná";-;-;-;-;-;-
"412560 São Mateus do Sul";-;-;-;-;-;-
"412570 São Miguel do Iguaçu";12;-;20;-;-;32
"412575 São Pedro do Iguaçu";-;-;-;-;-;-
"412580 São Pedro do Ivaí";1;-;-;-;-;1
"412590 São Pedro do Paraná";-;-;-;-;-;-
"412600 São Sebastião da Amoreira";-;-;-;-;-;-
"412610 São Tomé";-;-;-;-;-;-
"412620 Sapopema";-;-;-;-;-;-
"412625 Sarandi";-;-;27;-;-;27
"412627 Saudade do Iguaçu";-;-;-;-;-;-
"412630 Sengés";-;-;-;-;-;-
"412635 Serranópolis do Iguaçu";-;-;-;-;-;-
"412640 Sertaneja";-;-;-;-;-;-
"412650 Sertanópolis";-;-;-;-;-;-
"412660 Siqueira Campos";-;-;-;-;-;-
"412665 Sulina";-;-;-;-;-;-
"412667 Tamarana";-;-;-;-;-;-
"412670 Tamboara";1;-;-;-;-;1
"412680 Tapejara";-;-;-;-;-;-
"412690 Tapira";-;-;-;-;-;-
"412700 Teixeira Soares";-;-;-;-;-;-
"412710 Telêmaco Borba";-;-;12;-;-;12
"412720 Terra Boa";1;-;-;-;-;1
"412730 Terra Rica";1;-;-;-;-;1
"412740 Terra Roxa";1;-;-;-;-;1
"412750 Tibagi";-;-;-;-;-;-
"412760 Tijucas do Sul";-;-;-;-;-;-
"412770 Toledo";1;7;29;-;-;37
"412780 Tomazina";1;-;-;-;-;1
"412785 Três Barras do Paraná";-;-;-;-;-;-
"412788 Tunas do Paraná";-;-;-;-;-;-
"412790 Tuneiras do Oeste";-;-;-;-;-;-
"412795 Tupãssi";-;-;-;-;-;-
"412796 Turvo";-;-;-;-;-;-
"412800 Ubiratã";-;-;-;-;-;-
"412810 Umuarama";7;-;54;-;-;61
"412820 União da Vitória";1;-;15;-;-;16
"412830 Uniflor";-;-;-;-;-;-
"412840 Uraí";-;-;-;-;-;-
"412853 Ventania";-;-;-;-;-;-
"412855 Vera Cruz do Oeste";-;-;-;-;-;-
"412860 Verê";1;-;-;-;-;1
"412865 Virmond";-;-;-;-;-;-
"412870 Vitorino";-;-;-;-;-;-
"412850 Wenceslau Braz";-;-;-;-;-;-
"412880 Xambrê";-;-;-;-;-;-
"410000 Município ignorado - PR";-;-;-;-;-;-
"420005 Abdon Batista";-;-;-;-;-;-
"420010 Abelardo Luz";-;-;-;-;-;-
"420020 Agrolândia";-;-;-;-;-;-
"420030 Agronômica";-;-;-;-;-;-
"420040 Água Doce";1;-;-;-;-;1
"420050 Águas de Chapecó";-;-;-;-;-;-
"420055 Águas Frias";-;-;-;-;-;-
"420060 Águas Mornas";-;-;-;-;-;-
"420070 Alfredo Wagner";1;-;-;-;-;1
"420075 Alto Bela Vista";-;-;-;-;-;-
"420080 Anchieta";-;-;-;-;-;-
"420090 Angelina";-;-;-;-;-;-
"420100 Anita Garibaldi";-;-;-;-;-;-
"420110 Anitápolis";1;-;-;-;-;1
"420120 Antônio Carlos";-;-;-;-;-;-
"420125 Apiúna";-;-;-;-;-;-
"420127 Arabutã";1;-;-;-;-;1
"420130 Araquari";-;-;-;-;-;-
"420140 Araranguá";-;-;10;-;-;10
"420150 Armazém";-;-;-;-;-;-
"420160 Arroio Trinta";-;-;-;-;-;-
"420165 Arvoredo";-;-;-;-;-;-
"420170 Ascurra";-;-;-;-;-;-
"420180 Atalanta";-;-;-;-;-;-
"420190 Aurora";-;-;-;-;-;-
"420195 Balneário Arroio do Silva";-;-;-;-;-;-
"420205 Balneário Barra do Sul";-;-;-;-;-;-
"420200 Balneário Camboriú";9;-;20;10;-;39
"420207 Balneário Gaivota";-;-;-;-;-;-
"421280 Balneário Piçarras";-;-;-;-;-;-
"422000 Balneário Rincão";-;-;-;-;-;-
"420208 Bandeirante";-;-;-;-;-;-
"420209 Barra Bonita";-;-;-;-;-;-
"420210 Barra Velha";-;-;-;-;-;-
"420213 Bela Vista do Toldo";-;-;-;-;-;-
"420215 Belmonte";-;-;-;-;-;-
"420220 Benedito Novo";-;-;-;-;-;-
"420230 Biguaçu";-;-;-;-;-;-
"420240 Blumenau";-;-;25;40;-;65
"420243 Bocaina do Sul";-;-;-;-;-;-
"420250 Bom Jardim da Serra";-;-;-;-;-;-
"420253 Bom Jesus";-;-;-;-;-;-
"420257 Bom Jesus do Oeste";-;-;-;-;-;-
"420260 Bom Retiro";-;-;-;-;-;-
"420245 Bombinhas";-;-;-;-;-;-
"420270 Botuverá";-;-;-;-;-;-
"420280 Braço do Norte";-;-;-;-;-;-
"420285 Braço do Trombudo";-;-;-;-;-;-
"420287 Brunópolis";-;-;-;-;-;-
"420290 Brusque";-;10;10;-;-;20
"420300 Caçador";-;-;20;-;-;20
"420310 Caibi";1;-;-;-;-;1
"420315 Calmon";-;-;-;-;-;-
"420320 Camboriú";-;-;-;-;-;-
"420330 Campo Alegre";-;-;-;-;-;-
"420340 Campo Belo do Sul";-;-;-;-;-;-
"420350 Campo Erê";2;-;-;-;-;2
"420360 Campos Novos";1;-;-;-;-;1
"420370 Canelinha";-;-;-;-;-;-
"420380 Canoinhas";2;-;10;-;-;12
"420325 Capão Alto";-;-;-;-;-;-
"420390 Capinzal";-;-;-;-;-;-
"420395 Capivari de Baixo";-;-;-;-;-;-
"420400 Catanduvas";-;-;-;-;-;-
"420410 Caxambu do Sul";1;-;-;-;-;1
"420415 Celso Ramos";-;-;-;-;-;-
"420417 Cerro Negro";-;-;-;-;-;-
"420419 Chapadão do Lageado";-;-;-;-;-;-
"420420 Chapecó";-;3;20;-;-;23
"420425 Cocal do Sul";-;-;-;-;-;-
"420430 Concórdia";6;1;9;-;-;16
"420435 Cordilheira Alta";-;-;-;-;-;-
"420440 Coronel Freitas";-;-;-;-;-;-
"420445 Coronel Martins";-;-;-;-;-;-
"420455 Correia Pinto";-;-;-;-;-;-
"420450 Corupá";-;-;-;-;-;-
"420460 Criciúma";2;-;54;-;-;56
"420470 Cunha Porã";1;-;-;-;-;1
"420475 Cunhataí";-;-;-;-;-;-
"420480 Curitibanos";5;-;8;-;-;13
"420490 Descanso";1;-;-;-;-;1
"420500 Dionísio Cerqueira";2;-;-;-;-;2
"420510 Dona Emma";-;-;-;-;-;-
"420515 Doutor Pedrinho";-;-;-;-;-;-
"420517 Entre Rios";-;-;-;-;-;-
"420519 Ermo";-;-;-;-;-;-
"420520 Erval Velho";-;-;-;-;-;-
"420530 Faxinal dos Guedes";1;-;-;-;-;1
"420535 Flor do Sertão";-;-;-;-;-;-
"420540 Florianópolis";32;37;66;62;1;198
"420543 Formosa do Sul";-;-;-;-;-;-
"420545 Forquilhinha";-;-;-;-;-;-
"420550 Fraiburgo";-;-;-;-;-;-
"420555 Frei Rogério";-;-;-;-;-;-
"420560 Galvão";-;-;-;-;-;-
"420570 Garopaba";-;-;-;-;-;-
"420580 Garuva";1;-;-;-;-;1
"420590 Gaspar";-;-;-;-;-;-
"420600 Governador Celso Ramos";-;-;-;-;-;-
"420610 Grão Pará";-;-;-;-;-;-
"420620 Gravatal";-;-;-;-;-;-
"420630 Guabiruba";-;-;-;-;-;-
"420640 Guaraciaba";-;-;-;-;-;-
"420650 Guaramirim";-;-;-;-;-;-
"420660 Guarujá do Sul";1;-;-;-;-;1
"420665 Guatambú";-;-;-;-;-;-
"420670 Herval d'Oeste";-;-;-;-;-;-
"420675 Ibiam";-;-;-;-;-;-
"420680 Ibicaré";-;-;-;-;-;-
"420690 Ibirama";5;-;10;-;-;15
"420700 Içara";-;-;10;-;-;10
"420710 Ilhota";-;-;-;-;-;-
"420720 Imaruí";-;-;-;-;-;-
"420730 Imbituba";-;-;-;-;1;1
"420740 Imbuia";-;-;-;-;-;-
"420750 Indaial";8;-;-;-;-;8
"420757 Iomerê";-;-;-;-;-;-
"420760 Ipira";2;-;-;-;-;2
"420765 Iporã do Oeste";1;-;-;-;-;1
"420768 Ipuaçu";-;-;-;-;-;-
"420770 Ipumirim";1;-;-;-;-;1
"420775 Iraceminha";-;-;-;-;-;-
"420780 Irani";1;-;-;-;-;1
"420785 Irati";-;-;-;-;-;-
"420790 Irineópolis";3;-;-;-;-;3
"420800 Itá";1;-;-;-;-;1
"420810 Itaiópolis";-;-;-;-;-;-
"420820 Itajaí";4;-;30;-;-;34
"420830 Itapema";-;-;-;-;-;-
"420840 Itapiranga";2;-;-;-;-;2
"420845 Itapoá";-;-;-;-;-;-
"420850 Ituporanga";-;-;10;-;-;10
"420860 Jaborá";-;-;-;-;-;-
"420870 Jacinto Machado";-;-;-;-;-;-
"420880 Jaguaruna";1;-;-;-;-;1
"420890 Jaraguá do Sul";-;-;30;-;-;30
"420895 Jardinópolis";-;-;-;-;-;-
"420900 Joaçaba";-;-;10;-;-;10
"420910 Joinville";23;28;49;19;-;119
"420915 José Boiteux";-;-;-;-;-;-
"420917 Jupiá";-;-;-;-;-;-
"420920 Lacerdópolis";-;-;-;-;-;-
"420930 Lages";9;-;20;-;-;29
"420940 Laguna";2;-;-;-;-;2
"420945 Lajeado Grande";-;-;-;-;-;-
"420950 Laurentino";-;-;-;-;-;-
"420960 Lauro Muller";1;-;-;-;-;1
"420970 Lebon Régis";-;-;-;-;-;-
"420980 Leoberto Leal";-;-;-;-;-;-
"420985 Lindóia do Sul";1;-;-;-;-;1
"420990 Lontras";-;-;-;-;-;-
"421000 Luiz Alves";2;-;-;-;-;2
"421003 Luzerna";-;-;-;-;-;-
"421005 Macieira";-;-;-;-;-;-
"421010 Mafra";2;-;22;-;-;24
"421020 Major Gercino";-;-;-;-;-;-
"421030 Major Vieira";1;-;-;-;-;1
"421040 Maracajá";-;-;-;-;-;-
"421050 Maravilha";2;-;10;-;-;12
"421055 Marema";-;-;-;-;-;-
"421060 Massaranduba";-;-;-;-;-;-
"421070 Matos Costa";-;-;-;-;-;-
"421080 Meleiro";-;-;-;-;-;-
"421085 Mirim Doce";-;-;-;-;-;-
"421090 Modelo";1;-;-;-;-;1
"421100 Mondaí";1;-;-;-;-;1
"421105 Monte Carlo";1;-;-;-;-;1
"421110 Monte Castelo";-;-;-;-;-;-
"421120 Morro da Fumaça";2;-;-;-;-;2
"421125 Morro Grande";-;-;-;-;-;-
"421130 Navegantes";-;-;-;-;-;-
"421140 Nova Erechim";1;-;-;-;-;1
"421145 Nova Itaberaba";-;-;-;-;-;-
"421150 Nova Trento";-;-;-;-;-;-
"421160 Nova Veneza";-;-;-;-;-;-
"421165 Novo Horizonte";-;-;-;-;-;-
"421170 Orleans";-;-;-;-;-;-
"421175 Otacílio Costa";-;-;-;-;-;-
"421180 Ouro";-;-;-;-;-;-
"421185 Ouro Verde";-;-;-;-;-;-
"421187 Paial";-;-;-;-;-;-
"421189 Painel";-;-;-;-;-;-
"421190 Palhoça";2;-;-;-;-;2
"421200 Palma Sola";1;-;-;-;-;1
"421205 Palmeira";-;-;-;-;-;-
"421210 Palmitos";2;-;-;-;-;2
"421220 Papanduva";-;-;-;-;-;-
"421223 Paraíso";-;-;-;-;-;-
"421225 Passo de Torres";-;-;-;-;-;-
"421227 Passos Maia";-;-;-;-;-;-
"421230 Paulo Lopes";-;-;-;-;-;-
"421240 Pedras Grandes";-;-;-;-;-;-
"421250 Penha";-;-;-;-;-;-
"421260 Peritiba";1;-;-;-;-;1
"421265 Pescaria Brava";-;-;-;-;-;-
"421270 Petrolândia";-;-;-;-;-;-
"421290 Pinhalzinho";1;-;-;-;-;1
"421300 Pinheiro Preto";-;-;-;-;-;-
"421310 Piratuba";-;-;-;-;-;-
"421315 Planalto Alegre";-;-;-;-;-;-
"421320 Pomerode";-;-;-;-;-;-
"421330 Ponte Alta";-;-;-;-;-;-
"421335 Ponte Alta do Norte";-;-;-;-;-;-
"421340 Ponte Serrada";2;-;-;-;-;2
"421350 Porto Belo";-;-;-;-;-;-
"421360 Porto União";-;-;8;-;-;8
"421370 Pouso Redondo";-;-;-;-;-;-
"421380 Praia Grande";-;-;-;-;-;-
"421390 Presidente Castello Branco";-;-;-;-;-;-
"421400 Presidente Getúlio";-;-;-;-;-;-
"421410 Presidente Nereu";-;-;-;-;-;-
"421415 Princesa";-;-;-;-;-;-
"421420 Quilombo";-;-;-;-;-;-
"421430 Rancho Queimado";-;-;-;-;-;-
"421440 Rio das Antas";-;-;-;-;-;-
"421450 Rio do Campo";2;-;-;-;-;2
"421460 Rio do Oeste";-;-;-;-;-;-
"421480 Rio do Sul";4;-;20;-;-;24
"421470 Rio dos Cedros";-;-;-;-;-;-
"421490 Rio Fortuna";-;-;-;-;-;-
"421500 Rio Negrinho";12;-;-;-;-;12
"421505 Rio Rufino";-;-;-;-;-;-
"421507 Riqueza";-;-;-;-;-;-
"421510 Rodeio";-;-;-;-;-;-
"421520 Romelândia";-;-;-;-;-;-
"421530 Salete";1;-;-;-;-;1
"421535 Saltinho";-;-;-;-;-;-
"421540 Salto Veloso";-;-;-;-;-;-
"421545 Sangão";-;-;-;-;-;-
"421550 Santa Cecília";1;-;-;-;-;1
"421555 Santa Helena";-;-;-;-;-;-
"421560 Santa Rosa de Lima";-;-;-;-;-;-
"421565 Santa Rosa do Sul";-;-;-;-;-;-
"421567 Santa Terezinha";-;-;-;-;-;-
"421568 Santa Terezinha do Progresso";-;-;-;-;-;-
"421569 Santiago do Sul";-;-;-;-;-;-
"421570 Santo Amaro da Imperatriz";1;-;-;-;-;1
"421580 São Bento do Sul";-;-;10;-;-;10
"421575 São Bernardino";-;-;-;-;-;-
"421590 São Bonifácio";-;-;-;-;-;-
"421600 São Carlos";3;-;-;-;-;3
"421605 São Cristovão do Sul";-;-;-;-;-;-
"421610 São Domingos";-;-;-;-;-;-
"421620 São Francisco do Sul";-;-;-;-;-;-
"421630 São João Batista";-;-;-;-;-;-
"421635 São João do Itaperiú";-;-;-;-;-;-
"421625 São João do Oeste";1;-;-;-;-;1
"421640 São João do Sul";-;-;-;-;-;-
"421650 São Joaquim";3;-;-;-;-;3
"421660 São José";6;-;33;20;-;59
"421670 São José do Cedro";1;-;-;-;-;1
"421680 São José do Cerrito";-;-;-;-;-;-
"421690 São Lourenço do Oeste";2;-;-;-;-;2
"421700 São Ludgero";-;-;-;-;-;-
"421710 São Martinho";-;-;-;-;-;-
"421715 São Miguel da Boa Vista";-;-;-;-;-;-
"421720 São Miguel do Oeste";1;-;10;-;-;11
"421725 São Pedro de Alcântara";-;-;-;-;-;-
"421730 Saudades";1;-;-;-;-;1
"421740 Schroeder";-;-;-;-;-;-
"421750 Seara";1;-;-;-;-;1
"421755 Serra Alta";-;-;-;-;-;-
"421760 Siderópolis";-;-;-;-;-;-
"421770 Sombrio";1;-;-;-;-;1
"421775 Sul Brasil";-;-;-;-;-;-
"421780 Taió";1;-;-;-;-;1
"421790 Tangará";1;-;-;-;-;1
"421795 Tigrinhos";-;-;-;-;-;-
"421800 Tijucas";-;-;-;-;-;-
"421810 Timbé do Sul";-;-;-;-;-;-
"421820 Timbó";-;-;10;-;-;10
"421825 Timbó Grande";-;-;-;-;-;-
"421830 Três Barras";1;-;-;-;-;1
"421835 Treviso";-;-;-;-;-;-
"421840 Treze de Maio";-;-;-;-;-;-
"421850 Treze Tílias";-;-;-;-;-;-
"421860 Trombudo Central";1;-;-;-;-;1
"421870 Tubarão";5;10;30;-;-;45
"421875 Tunápolis";1;-;-;-;-;1
"421880 Turvo";-;-;-;-;-;-
"421885 União do Oeste";-;-;-;-;-;-
"421890 Urubici";-;-;-;-;-;-
"421895 Urupema";-;-;-;-;-;-
"421900 Urussanga";-;-;-;-;-;-
"421910 Vargeão";1;-;-;-;-;1
"421915 Vargem";-;-;-;-;-;-
"421917 Vargem Bonita";-;-;-;-;-;-
"421920 Vidal Ramos";1;-;-;-;-;1
"421930 Videira";-;-;18;-;-;18
"421935 Vitor Meireles";-;-;-;-;-;-
"421940 Witmarsum";-;-;-;-;-;-
"421950 Xanxerê";-;-;11;-;-;11
"421960 Xavantina";1;-;-;-;-;1
"421970 Xaxim";2;-;-;-;-;2
"421985 Zortéa";-;-;-;-;-;-
"420000 Município ignorado - SC";-;-;-;-;-;-
"430003 Aceguá";-;-;-;-;-;-
"430005 Água Santa";-;-;-;-;-;-
"430010 Agudo";1;-;-;-;-;1
"430020 Ajuricaba";1;-;-;-;-;1
"430030 Alecrim";-;-;-;-;-;-
"430040 Alegrete";-;-;8;-;-;8
"430045 Alegria";-;-;-;-;-;-
"430047 Almirante Tamandaré do Sul";-;-;-;-;-;-
"430050 Alpestre";-;-;-;-;-;-
"430055 Alto Alegre";-;-;-;-;-;-
"430057 Alto Feliz";-;-;-;-;-;-
"430060 Alvorada";-;-;-;-;-;-
"430063 Amaral Ferrador";-;-;-;-;-;-
"430064 Ametista do Sul";-;-;-;-;-;-
"430066 André da Rocha";-;-;-;-;-;-
"430070 Anta Gorda";-;-;-;-;-;-
"430080 Antônio Prado";-;-;-;-;-;-
"430085 Arambaré";-;-;-;-;-;-
"430087 Araricá";-;-;-;-;-;-
"430090 Aratiba";-;-;-;-;-;-
"430100 Arroio do Meio";-;-;-;-;-;-
"430107 Arroio do Padre";-;-;-;-;-;-
"430105 Arroio do Sal";-;-;-;-;-;-
"430120 Arroio do Tigre";-;-;-;-;-;-
"430110 Arroio dos Ratos";-;-;-;-;-;-
"430130 Arroio Grande";-;-;-;-;-;-
"430140 Arvorezinha";-;-;-;-;-;-
"430150 Augusto Pestana";-;-;-;-;-;-
"430155 Áurea";-;-;-;-;-;-
"430160 Bagé";-;-;26;-;-;26
"430163 Balneário Pinhal";-;-;-;-;-;-
"430165 Barão";-;-;-;-;-;-
"430170 Barão de Cotegipe";-;-;-;-;-;-
"430175 Barão do Triunfo";-;-;-;-;-;-
"430185 Barra do Guarita";-;-;-;-;-;-
"430187 Barra do Quaraí";-;-;-;-;-;-
"430190 Barra do Ribeiro";-;-;-;-;-;-
"430192 Barra do Rio Azul";-;-;-;-;-;-
"430195 Barra Funda";-;-;-;-;-;-
"430180 Barracão";-;-;-;-;-;-
"430200 Barros Cassal";-;-;-;-;-;-
"430205 Benjamin Constant do Sul";-;-;-;-;-;-
"430210 Bento Gonçalves";-;-;20;-;-;20
"430215 Boa Vista das Missões";-;-;-;-;-;-
"430220 Boa Vista do Buricá";-;-;-;-;-;-
"430222 Boa Vista do Cadeado";-;-;-;-;-;-
"430223 Boa Vista do Incra";-;-;-;-;-;-
"430225 Boa Vista do Sul";-;-;-;-;-;-
"430230 Bom Jesus";1;-;-;-;-;1
"430235 Bom Princípio";-;-;-;-;-;-
"430237 Bom Progresso";-;-;-;-;-;-
"430240 Bom Retiro do Sul";-;-;-;-;-;-
"430245 Boqueirão do Leão";1;-;-;-;-;1
"430250 Bossoroca";-;-;-;-;-;-
"430258 Bozano";-;-;-;-;-;-
"430260 Braga";-;-;-;-;-;-
"430265 Brochier";-;-;-;-;-;-
"430270 Butiá";2;-;-;-;-;2
"430280 Caçapava do Sul";-;-;-;-;-;-
"430290 Cacequi";-;-;-;-;-;-
"430300 Cachoeira do Sul";-;-;10;-;-;10
"430310 Cachoeirinha";-;-;-;-;-;-
"430320 Cacique Doble";-;-;-;-;-;-
"430330 Caibaté";1;-;-;-;-;1
"430340 Caiçara";-;-;-;-;-;-
"430350 Camaquã";-;-;-;-;-;-
"430355 Camargo";-;-;-;-;-;-
"430360 Cambará do Sul";1;-;-;-;-;1
"430367 Campestre da Serra";-;-;-;-;-;-
"430370 Campina das Missões";-;-;-;-;-;-
"430380 Campinas do Sul";1;-;-;-;-;1
"430390 Campo Bom";-;-;10;-;-;10
"430400 Campo Novo";1;-;-;-;-;1
"430410 Campos Borges";-;-;-;-;-;-
"430420 Candelária";-;-;-;-;-;-
"430430 Cândido Godói";-;-;-;-;-;-
"430435 Candiota";-;-;-;-;-;-
"430440 Canela";-;-;-;-;2;2
"430450 Canguçu";-;-;10;-;-;10
"430460 Canoas";26;-;28;37;-;91
"430461 Canudos do Vale";-;-;-;-;-;-
"430462 Capão Bonito do Sul";-;-;-;-;-;-
"430463 Capão da Canoa";-;-;10;-;-;10
"430465 Capão do Cipó";-;-;-;-;-;-
"430466 Capão do Leão";-;-;-;-;-;-
"430468 Capela de Santana";-;-;-;-;-;-
"430469 Capitão";-;-;-;-;-;-
"430467 Capivari do Sul";-;-;-;-;-;-
"430471 Caraá";-;-;-;-;-;-
"430470 Carazinho";-;-;7;-;-;7
"430480 Carlos Barbosa";-;-;-;-;-;-
"430485 Carlos Gomes";-;-;-;-;-;-
"430490 Casca";-;-;-;-;-;-
"430495 Caseiros";-;-;-;-;-;-
"430500 Catuípe";-;-;-;-;-;-
"430510 Caxias do Sul";-;10;86;-;-;96
"430511 Centenário";-;-;-;-;-;-
"430512 Cerrito";-;-;-;-;-;-
"430513 Cerro Branco";-;-;-;-;-;-
"430515 Cerro Grande";-;-;-;-;-;-
"430517 Cerro Grande do Sul";-;-;-;-;-;-
"430520 Cerro Largo";-;-;-;-;-;-
"430530 Chapada";2;-;-;-;-;2
"430535 Charqueadas";-;-;-;-;-;-
"430537 Charrua";-;-;-;-;-;-
"430540 Chiapetta";1;-;-;-;-;1
"430543 Chuí";-;-;-;-;-;-
"430544 Chuvisca";-;-;-;-;-;-
"430545 Cidreira";-;-;-;-;-;-
"430550 Ciríaco";-;-;-;-;-;-
"430558 Colinas";-;-;-;-;-;-
"430560 Colorado";-;-;-;-;-;-
"430570 Condor";1;-;-;-;-;1
"430580 Constantina";2;-;-;-;-;2
"430583 Coqueiro Baixo";-;-;-;-;-;-
"430585 Coqueiros do Sul";-;-;-;-;-;-
"430587 Coronel Barros";-;-;-;-;-;-
"430590 Coronel Bicaco";1;-;-;-;-;1
"430593 Coronel Pilar";-;-;-;-;-;-
"430595 Cotiporã";-;-;-;-;-;-
"430597 Coxilha";-;-;-;-;-;-
"430600 Crissiumal";-;-;-;-;-;-
"430605 Cristal";-;-;-;-;-;-
"430607 Cristal do Sul";-;-;-;-;-;-
"430610 Cruz Alta";-;5;10;-;-;15
"430613 Cruzaltense";-;-;-;-;-;-
"430620 Cruzeiro do Sul";1;-;-;-;-;1
"430630 David Canabarro";-;-;-;-;-;-
"430632 Derrubadas";-;-;-;-;-;-
"430635 Dezesseis de Novembro";-;-;-;-;-;-
"430637 Dilermando de Aguiar";-;-;-;-;-;-
"430640 Dois Irmãos";2;-;-;-;-;2
"430642 Dois Irmãos das Missões";-;-;-;-;-;-
"430645 Dois Lajeados";-;-;-;-;-;-
"430650 Dom Feliciano";-;-;-;-;-;-
"430660 Dom Pedrito";-;10;-;-;-;10
"430655 Dom Pedro de Alcântara";-;-;-;-;-;-
"430670 Dona Francisca";-;-;-;-;-;-
"430673 Doutor Maurício Cardoso";-;-;-;-;-;-
"430675 Doutor Ricardo";-;-;-;-;-;-
"430676 Eldorado do Sul";-;-;-;-;-;-
"430680 Encantado";-;-;-;-;-;-
"430690 Encruzilhada do Sul";-;-;-;-;-;-
"430692 Engenho Velho";-;-;-;-;-;-
"430695 Entre Rios do Sul";-;-;-;-;-;-
"430693 Entre-Ijuís";-;-;-;-;-;-
"430697 Erebango";-;-;-;-;-;-
"430700 Erechim";-;-;19;-;-;19
"430705 Ernestina";-;-;-;-;-;-
"430720 Erval Grande";-;-;-;-;-;-
"430730 Erval Seco";-;-;-;-;-;-
"430740 Esmeralda";-;-;-;-;-;-
"430745 Esperança do Sul";-;-;-;-;-;-
"430750 Espumoso";1;-;-;-;-;1
"430755 Estação";-;-;-;-;-;-
"430760 Estância Velha";-;-;-;-;-;-
"430770 Esteio";-;-;8;-;-;8
"430780 Estrela";-;-;10;-;-;10
"430781 Estrela Velha";-;-;-;-;-;-
"430783 Eugênio de Castro";-;-;-;-;-;-
"430786 Fagundes Varela";-;-;-;-;-;-
"430790 Farroupilha";-;-;10;-;-;10
"430800 Faxinal do Soturno";4;-;-;-;-;4
"430805 Faxinalzinho";-;-;-;-;-;-
"430807 Fazenda Vilanova";-;-;-;-;-;-
"430810 Feliz";-;-;-;-;-;-
"430820 Flores da Cunha";1;-;-;-;-;1
"430825 Floriano Peixoto";-;-;-;-;-;-
"430830 Fontoura Xavier";-;-;-;-;-;-
"430840 Formigueiro";-;-;-;-;-;-
"430843 Forquetinha";-;-;-;-;-;-
"430845 Fortaleza dos Valos";-;-;-;-;-;-
"430850 Frederico Westphalen";3;-;10;-;2;15
"430860 Garibaldi";2;-;-;-;-;2
"430865 Garruchos";-;-;-;-;-;-
"430870 Gaurama";-;-;-;-;-;-
"430880 General Câmara";-;-;-;-;-;-
"430885 Gentil";-;-;-;-;-;-
"430890 Getúlio Vargas";-;-;-;-;-;-
"430900 Giruá";-;-;-;-;-;-
"430905 Glorinha";-;-;-;-;-;-
"430910 Gramado";-;-;10;-;-;10
"430912 Gramado dos Loureiros";-;-;-;-;-;-
"430915 Gramado Xavier";-;-;-;-;-;-
"430920 Gravataí";-;-;10;-;-;10
"430925 Guabiju";-;-;-;-;-;-
"430930 Guaíba";-;-;-;-;-;-
"430940 Guaporé";-;-;-;-;-;-
"430950 Guarani das Missões";-;-;-;-;-;-
"430955 Harmonia";-;-;-;-;-;-
"430710 Herval";-;-;-;-;-;-
"430957 Herveiras";-;-;-;-;-;-
"430960 Horizontina";2;-;-;-;-;2
"430965 Hulha Negra";-;-;-;-;-;-
"430970 Humaitá";-;-;-;-;-;-
"430975 Ibarama";-;-;-;-;-;-
"430980 Ibiaçá";-;-;-;-;-;-
"430990 Ibiraiaras";-;-;-;-;-;-
"430995 Ibirapuitã";-;-;-;-;-;-
"431000 Ibirubá";-;-;-;-;-;-
"431010 Igrejinha";-;-;-;-;-;-
"431020 Ijuí";9;10;24;-;-;43
"431030 Ilópolis";-;-;-;-;-;-
"431033 Imbé";-;-;-;-;-;-
"431036 Imigrante";-;-;-;-;-;-
"431040 Independência";-;-;-;-;-;-
