"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"260690 Iguaracy";16;16;-
"260760 Ilha de Itamaracá";14;14;-
"260700 Inajá";13;13;-
"260710 Ingazeira";4;4;-
"260720 Ipojuca";32;32;-
"260730 Ipubi";38;38;-
"260740 Itacuruba";14;14;-
"260750 Itaíba";21;21;-
"260765 Itambé";42;42;-
"260770 Itapetim";25;25;-
"260775 Itapissuma";1;1;-
"260780 Itaquitinga";14;14;-
"260790 Jaboatão dos Guararapes";726;551;175
"260795 Jaqueira";32;32;-
"260800 Jataúba";13;13;-
"260805 Jatobá";23;23;-
"260810 João Alfredo";23;23;-
"260820 Joaquim Nabuco";14;14;-
"260825 Jucati";6;6;-
"260830 Jupi";9;9;-
"260840 Jurema";18;18;-
"260850 Lagoa de Itaenga";20;20;-
"260845 Lagoa do Carro";13;13;-
"260860 Lagoa do Ouro";26;26;-
"260870 Lagoa dos Gatos";17;17;-
"260875 Lagoa Grande";27;27;-
"260880 Lajedo";21;21;-
"260890 Limoeiro";126;99;27
"260900 Macaparana";52;52;-
"260910 Machados";9;9;-
"260915 Manari";16;16;-
"260920 Maraial";13;13;-
"260930 Mirandiba";34;34;-
"261430 Moreilândia";22;22;-
"260940 Moreno";67;67;-
"260950 Nazaré da Mata";40;40;-
"260960 Olinda";489;249;240
"260970 Orobó";20;20;-
"260980 Orocó";11;11;-
"260990 Ouricuri";98;92;6
"261000 Palmares";274;243;31
"261010 Palmeirina";10;10;-
"261020 Panelas";26;26;-
"261030 Paranatama";20;20;-
"261040 Parnamirim";29;29;-
"261050 Passira";25;25;-
"261060 Paudalho";141;98;43
"261070 Paulista";519;416;103
"261080 Pedra";23;23;-
"261090 Pesqueira";167;125;42
"261100 Petrolândia";119;119;-
"261110 Petrolina";726;433;293
"261120 Poção";14;14;-
"261130 Pombos";21;21;-
"261140 Primavera";4;4;-
"261150 Quipapá";50;50;-
"261153 Quixaba";-;-;-
"261160 Recife";8328;6032;2296
"261170 Riacho das Almas";30;30;-
"261180 Ribeirão";7;7;-
"261190 Rio Formoso";16;16;-
"261200 Sairé";20;20;-
"261210 Salgadinho";5;5;-
"261220 Salgueiro";232;167;65
"261230 Saloá";19;19;-
"261240 Sanharó";14;14;-
"261245 Santa Cruz";24;24;-
"261247 Santa Cruz da Baixa Verde";15;15;-
"261250 Santa Cruz do Capibaribe";76;70;6
"261255 Santa Filomena";17;17;-
"261260 Santa Maria da Boa Vista";43;43;-
"261270 Santa Maria do Cambucá";-;-;-
"261280 Santa Terezinha";13;13;-
"261290 São Benedito do Sul";28;28;-
"261300 São Bento do Una";46;46;-
"261310 São Caitano";53;53;-
"261320 São João";20;20;-
"261330 São Joaquim do Monte";34;34;-
"261340 São José da Coroa Grande";22;22;-
"261350 São José do Belmonte";37;37;-
"261360 São José do Egito";73;65;8
"261370 São Lourenço da Mata";97;97;-
"261380 São Vicente Ferrer";29;29;-
"261390 Serra Talhada";441;324;117
"261400 Serrita";32;32;-
"261410 Sertânia";83;64;19
"261420 Sirinhaém";26;26;-
"261440 Solidão";13;7;6
"261450 Surubim";180;175;5
"261460 Tabira";55;35;20
"261470 Tacaimbó";-;-;-
"261480 Tacaratu";17;17;-
"261485 Tamandaré";16;16;-
"261500 Taquaritinga do Norte";56;56;-
"261510 Terezinha";8;8;-
"261520 Terra Nova";11;11;-
"261530 Timbaúba";137;106;31
"261540 Toritama";28;28;-
"261550 Tracunhaém";11;11;-
"261560 Trindade";81;37;44
"261570 Triunfo";13;13;-
"261580 Tupanatinga";19;19;-
"261590 Tuparetama";39;39;-
"261600 Venturosa";24;24;-
"261610 Verdejante";15;15;-
"261618 Vertente do Lério";-;-;-
"261620 Vertentes";50;50;-
"261630 Vicência";30;30;-
"261640 Vitória de Santo Antão";385;251;134
"261650 Xexéu";14;14;-
"260000 Município ignorado - PE";-;-;-
"270010 Água Branca";25;25;-
"270020 Anadia";25;25;-
"270030 Arapiraca";970;761;209
"270040 Atalaia";44;44;-
"270050 Barra de Santo Antônio";-;-;-
"270060 Barra de São Miguel";-;-;-
"270070 Batalha";35;35;-
"270080 Belém";-;-;-
"270090 Belo Monte";-;-;-
"270100 Boca da Mata";14;14;-
"270110 Branquinha";-;-;-
"270120 Cacimbinhas";3;3;-
"270130 Cajueiro";26;26;-
"270135 Campestre";-;-;-
"270140 Campo Alegre";40;40;-
"270150 Campo Grande";-;-;-
"270160 Canapi";-;-;-
"270170 Capela";53;53;-
"270180 Carneiros";-;-;-
"270190 Chã Preta";-;-;-
"270200 Coité do Nóia";-;-;-
"270210 Colônia Leopoldina";33;33;-
"270220 Coqueiro Seco";-;-;-
"270230 Coruripe";274;274;-
"270235 Craíbas";8;8;-
"270240 Delmiro Gouveia";44;44;-
"270250 Dois Riachos";-;-;-
"270255 Estrela de Alagoas";-;-;-
"270260 Feira Grande";-;-;-
"270270 Feliz Deserto";-;-;-
"270280 Flexeiras";15;15;-
"270290 Girau do Ponciano";48;48;-
"270300 Ibateguara";3;3;-
"270310 Igaci";14;14;-
"270320 Igreja Nova";-;-;-
"270330 Inhapi";-;-;-
"270340 Jacaré dos Homens";-;-;-
"270350 Jacuípe";-;-;-
"270360 Japaratinga";-;-;-
"270370 Jaramataia";-;-;-
"270375 Jequiá da Praia";2;2;-
"270380 Joaquim Gomes";50;50;-
"270390 Jundiá";-;-;-
"270400 Junqueiro";35;35;-
"270410 Lagoa da Canoa";3;3;-
"270420 Limoeiro de Anadia";14;14;-
"270430 Maceió";2866;2080;786
"270440 Major Isidoro";32;32;-
"270490 Mar Vermelho";-;-;-
"270450 Maragogi";2;2;-
"270460 Maravilha";-;-;-
"270470 Marechal Deodoro";-;-;-
"270480 Maribondo";-;-;-
"270500 Mata Grande";36;36;-
"270510 Matriz de Camaragibe";24;24;-
"270520 Messias";-;-;-
"270530 Minador do Negrão";-;-;-
"270540 Monteirópolis";-;-;-
"270550 Murici";53;53;-
"270560 Novo Lino";-;-;-
"270570 Olho d'Água das Flores";47;46;1
"270580 Olho d'Água do Casado";-;-;-
"270590 Olho d'Água Grande";-;-;-
"270600 Olivença";-;-;-
"270610 Ouro Branco";-;-;-
"270620 Palestina";-;-;-
"270630 Palmeira dos Índios";126;110;16
"270640 Pão de Açúcar";52;52;-
"270642 Pariconha";-;-;-
"270644 Paripueira";-;-;-
"270650 Passo de Camaragibe";-;-;-
"270660 Paulo Jacinto";16;16;-
"270670 Penedo";109;95;14
"270680 Piaçabuçu";18;18;-
"270690 Pilar";43;43;-
"270700 Pindoba";-;-;-
"270710 Piranhas";39;39;-
"270720 Poço das Trincheiras";-;-;-
"270730 Porto Calvo";41;41;-
"270740 Porto de Pedras";-;-;-
"270750 Porto Real do Colégio";-;-;-
"270760 Quebrangulo";28;28;-
"270770 Rio Largo";81;41;40
"270780 Roteiro";-;-;-
"270790 Santa Luzia do Norte";-;-;-
"270800 Santana do Ipanema";102;96;6
"270810 Santana do Mundaú";-;-;-
"270820 São Brás";3;3;-
"270830 São José da Laje";50;50;-
"270840 São José da Tapera";20;20;-
"270850 São Luís do Quitunde";27;27;-
"270860 São Miguel dos Campos";129;121;8
"270870 São Miguel dos Milagres";-;-;-
"270880 São Sebastião";6;6;-
"270890 Satuba";-;-;-
"270895 Senador Rui Palmeira";-;-;-
"270900 Tanque d'Arca";-;-;-
"270910 Taquarana";1;1;-
"270915 Teotônio Vilela";50;50;-
"270920 Traipu";9;9;-
"270930 União dos Palmares";63;59;4
"270940 Viçosa";40;40;-
"270000 Município ignorado - AL";-;-;-
"280010 Amparo de São Francisco";-;-;-
"280020 Aquidabã";32;32;-
"280030 Aracaju";2161;1386;775
"280040 Arauá";1;1;-
"280050 Areia Branca";-;-;-
"280060 Barra dos Coqueiros";-;-;-
"280067 Boquim";18;18;-
"280070 Brejo Grande";-;-;-
"280100 Campo do Brito";-;-;-
"280110 Canhoba";-;-;-
"280120 Canindé de São Francisco";27;27;-
"280130 Capela";65;65;-
"280140 Carira";1;1;-
"280150 Carmópolis";1;1;-
"280160 Cedro de São João";-;-;-
"280170 Cristinápolis";-;-;-
"280190 Cumbe";-;-;-
"280200 Divina Pastora";-;-;-
"280210 Estância";223;212;11
"280220 Feira Nova";-;-;-
"280230 Frei Paulo";1;1;-
"280240 Gararu";-;-;-
"280250 General Maynard";-;-;-
"280260 Gracho Cardoso";-;-;-
"280270 Ilha das Flores";-;-;-
"280280 Indiaroba";-;-;-
"280290 Itabaiana";152;123;29
"280300 Itabaianinha";25;25;-
"280310 Itabi";-;-;-
"280320 Itaporanga d'Ajuda";-;-;-
"280330 Japaratuba";-;-;-
"280340 Japoatã";21;21;-
"280350 Lagarto";140;124;16
"280360 Laranjeiras";1;1;-
"280370 Macambira";-;-;-
"280380 Malhada dos Bois";-;-;-
"280390 Malhador";-;-;-
"280400 Maruim";-;-;-
"280410 Moita Bonita";-;-;-
"280420 Monte Alegre de Sergipe";7;7;-
"280430 Muribeca";-;-;-
"280440 Neópolis";25;25;-
"280445 Nossa Senhora Aparecida";-;-;-
"280450 Nossa Senhora da Glória";49;49;-
"280460 Nossa Senhora das Dores";-;-;-
"280470 Nossa Senhora de Lourdes";-;-;-
"280480 Nossa Senhora do Socorro";56;56;-
"280490 Pacatuba";-;-;-
"280500 Pedra Mole";-;-;-
"280510 Pedrinhas";-;-;-
"280520 Pinhão";-;-;-
"280530 Pirambu";-;-;-
"280540 Poço Redondo";18;18;-
"280550 Poço Verde";12;12;-
"280560 Porto da Folha";18;18;-
"280570 Propriá";49;49;-
"280580 Riachão do Dantas";1;1;-
"280590 Riachuelo";56;56;-
"280600 Ribeirópolis";-;-;-
"280610 Rosário do Catete";14;14;-
"280620 Salgado";-;-;-
"280630 Santa Luzia do Itanhy";-;-;-
"280650 Santa Rosa de Lima";-;-;-
"280640 Santana do São Francisco";-;-;-
"280660 Santo Amaro das Brotas";-;-;-
"280670 São Cristóvão";31;30;1
"280680 São Domingos";-;-;-
"280690 São Francisco";-;-;-
"280700 São Miguel do Aleixo";-;-;-
"280710 Simão Dias";2;2;-
"280720 Siriri";-;-;-
"280730 Telha";-;-;-
"280740 Tobias Barreto";-;-;-
"280750 Tomar do Geru";-;-;-
"280760 Umbaúba";5;1;4
"280000 Município ignorado - SE";-;-;-
"290010 Abaíra";9;9;-
"290020 Abaré";24;24;-
"290030 Acajutiba";8;8;-
"290035 Adustina";19;19;-
"290040 Água Fria";20;20;-
"290060 Aiquara";13;13;-
"290070 Alagoinhas";242;172;70
"290080 Alcobaça";59;51;8
"290090 Almadina";-;-;-
"290100 Amargosa";52;52;-
"290110 Amélia Rodrigues";16;16;-
"290115 América Dourada";26;26;-
"290120 Anagé";33;33;-
"290130 Andaraí";32;32;-
"290135 Andorinha";6;5;1
"290140 Angical";6;6;-
"290150 Anguera";6;6;-
"290160 Antas";142;142;-
"290170 Antônio Cardoso";-;-;-
"290180 Antônio Gonçalves";-;-;-
"290190 Aporá";1;1;-
"290195 Apuarema";-;-;-
"290205 Araças";23;23;-
"290200 Aracatu";41;33;8
"290210 Araci";48;48;-
"290220 Aramari";-;-;-
"290225 Arataca";-;-;-
"290230 Aratuípe";-;-;-
"290240 Aurelino Leal";40;40;-
"290250 Baianópolis";28;28;-
"290260 Baixa Grande";36;36;-
"290265 Banzaê";-;-;-
"290270 Barra";83;82;1
"290280 Barra da Estiva";84;67;17
"290290 Barra do Choça";32;32;-
"290300 Barra do Mendes";26;26;-
"290310 Barra do Rocha";-;-;-
"290320 Barreiras";379;301;78
"290323 Barro Alto";23;22;1
"290330 Barro Preto";33;33;-
"290327 Barrocas";29;29;-
"290340 Belmonte";40;40;-
"290350 Belo Campo";44;44;-
"290360 Biritinga";14;14;-
"290370 Boa Nova";-;-;-
"290380 Boa Vista do Tupim";14;14;-
"290390 Bom Jesus da Lapa";90;90;-
"290395 Bom Jesus da Serra";28;14;14
"290400 Boninal";24;24;-
"290405 Bonito";16;16;-
"290410 Boquira";26;26;-
"290420 Botuporã";16;16;-
"290430 Brejões";19;19;-
"290440 Brejolândia";35;35;-
"290450 Brotas de Macaúbas";15;15;-
"290460 Brumado";112;100;12
"290470 Buerarema";-;-;-
"290475 Buritirama";19;19;-
"290480 Caatiba";14;14;-
"290485 Cabaceiras do Paraguaçu";4;4;-
"290490 Cachoeira";83;83;-
"290500 Caculé";51;49;2
"290510 Caém";36;36;-
"290515 Caetanos";-;-;-
"290520 Caetité";156;134;22
"290530 Cafarnaum";33;33;-
"290540 Cairu";-;-;-
"290550 Caldeirão Grande";39;39;-
"290560 Camacan";54;50;4
"290570 Camaçari";388;210;178
"290580 Camamu";17;17;-
"290590 Campo Alegre de Lourdes";77;36;41
"290600 Campo Formoso";84;73;11
"290610 Canápolis";24;24;-
"290620 Canarana";36;36;-
"290630 Canavieiras";75;65;10
"290640 Candeal";7;7;-
"290650 Candeias";90;46;44
"290660 Candiba";37;37;-
"290670 Cândido Sales";55;55;-
"290680 Cansanção";46;46;-
"290682 Canudos";41;41;-
"290685 Capela do Alto Alegre";11;11;-
"290687 Capim Grosso";57;57;-
"290689 Caraíbas";3;3;-
"290690 Caravelas";56;56;-
"290700 Cardeal da Silva";-;-;-
"290710 Carinhanha";30;30;-
"290720 Casa Nova";41;41;-
"290730 Castro Alves";60;60;-
"290740 Catolândia";-;-;-
"290750 Catu";97;43;54
"290755 Caturama";8;8;-
"290760 Central";42;42;-
"290770 Chorrochó";15;15;-
"290780 Cícero Dantas";49;46;3
"290790 Cipó";30;30;-
"290800 Coaraci";43;43;-
"290810 Cocos";31;31;-
"290820 Conceição da Feira";-;-;-
"290830 Conceição do Almeida";32;32;-
"290840 Conceição do Coité";214;119;95
"290850 Conceição do Jacuípe";94;35;59
"290860 Conde";15;15;-
"290870 Condeúba";16;16;-
"290880 Contendas do Sincorá";-;-;-
"290890 Coração de Maria";21;21;-
"290900 Cordeiros";5;5;-
"290910 Coribe";36;36;-
"290920 Coronel João Sá";-;-;-
"290930 Correntina";35;35;-
"290940 Cotegipe";29;29;-
"290950 Cravolândia";24;24;-
"290960 Crisópolis";23;23;-
"290970 Cristópolis";69;69;-
"290980 Cruz das Almas";85;75;10
"290990 Curaçá";26;26;-
"291000 Dário Meira";-;-;-
"291005 Dias d'Ávila";112;80;32
"291010 Dom Basílio";14;14;-
"291020 Dom Macedo Costa";-;-;-
"291030 Elísio Medrado";12;12;-
"291040 Encruzilhada";49;49;-
"291050 Entre Rios";65;65;-
"290050 Érico Cardoso";15;15;-
"291060 Esplanada";40;40;-
"291070 Euclides da Cunha";47;47;-
"291072 Eunápolis";259;125;134
"291075 Fátima";-;-;-
"291077 Feira da Mata";6;6;-
"291080 Feira de Santana";1342;930;412
"291085 Filadélfia";31;31;-
"291090 Firmino Alves";-;-;-
"291100 Floresta Azul";-;-;-
"291110 Formosa do Rio Preto";29;29;-
"291120 Gandu";62;58;4
"291125 Gavião";-;-;-
"291130 Gentio do Ouro";16;16;-
"291140 Glória";-;-;-
"291150 Gongogi";5;5;-
"291160 Governador Mangabeira";40;-;40
"291165 Guajeru";-;-;-
"291170 Guanambi";213;167;46
"291180 Guaratinga";32;32;-
"291185 Heliópolis";-;-;-
"291190 Iaçu";34;34;-
"291200 Ibiassucê";29;29;-
"291210 Ibicaraí";32;32;-
"291220 Ibicoara";-;-;-
"291230 Ibicuí";21;21;-
"291240 Ibipeba";44;11;33
"291250 Ibipitanga";14;14;-
"291260 Ibiquera";2;2;-
"291270 Ibirapitanga";30;30;-
"291280 Ibirapuã";23;23;-
"291290 Ibirataia";91;91;-
"291300 Ibitiara";62;35;27
"291310 Ibititá";32;31;1
"291320 Ibotirama";78;50;28
"291330 Ichu";22;22;-
"291340 Igaporã";29;29;-
"291345 Igrapiúna";8;8;-
"291350 Iguaí";84;74;10
"291360 Ilhéus";633;433;200
"291370 Inhambupe";38;38;-
"291380 Ipecaetá";12;12;-
"291390 Ipiaú";124;85;39
"291400 Ipirá";44;43;1
"291410 Ipupiara";24;24;-
"291420 Irajuba";29;29;-
"291430 Iramaia";16;16;-
"291440 Iraquara";47;47;-
"291450 Irará";30;30;-
"291460 Irecê";186;139;47
"291465 Itabela";38;38;-
"291470 Itaberaba";89;89;-
"291480 Itabuna";572;408;164
"291490 Itacaré";61;61;-
"291500 Itaeté";15;15;-
"291510 Itagi";8;8;-
"291520 Itagibá";-;-;-
"291530 Itagimirim";20;20;-
"291535 Itaguaçu da Bahia";24;24;-
"291540 Itaju do Colônia";12;12;-
"291550 Itajuípe";60;60;-
"291560 Itamaraju";84;83;1
"291570 Itamari";-;-;-
"291580 Itambé";50;50;-
"291590 Itanagra";-;-;-
"291600 Itanhém";54;52;2
"291610 Itaparica";52;52;-
"291620 Itapé";-;-;-
"291630 Itapebi";12;12;-
"291640 Itapetinga";89;69;20
"291650 Itapicuru";54;54;-
"291660 Itapitanga";16;16;-
"291670 Itaquara";19;19;-
"291680 Itarantim";30;30;-
"291685 Itatim";30;30;-
"291690 Itiruçu";85;85;-
"291700 Itiúba";45;42;3
"291710 Itororó";45;45;-
"291720 Ituaçu";24;24;-
"291730 Ituberá";33;33;-
"291733 Iuiú";14;14;-
"291735 Jaborandi";30;30;-
"291740 Jacaraci";29;29;-
"291750 Jacobina";278;231;47
"291760 Jaguaquara";117;107;10
"291770 Jaguarari";28;28;-
"291780 Jaguaripe";-;-;-
"291790 Jandaíra";-;-;-
"291800 Jequié";523;382;141
"291810 Jeremoabo";34;34;-
"291820 Jiquiriçá";23;23;-
"291830 Jitaúna";14;14;-
"291835 João Dourado";32;32;-
"291840 Juazeiro";576;457;119
"291845 Jucuruçu";24;24;-
"291850 Jussara";31;31;-
"291855 Jussari";37;37;-
"291860 Jussiape";12;12;-
"291870 Lafaiete Coutinho";-;-;-
"291875 Lagoa Real";17;17;-
"291880 Laje";41;41;-
"291890 Lajedão";-;-;-
"291900 Lajedinho";-;-;-
"291905 Lajedo do Tabocal";27;27;-
"291910 Lamarão";-;-;-
"291915 Lapão";44;44;-
"291920 Lauro de Freitas";405;299;106
"291930 Lençóis";14;14;-
"291940 Licínio de Almeida";20;20;-
"291950 Livramento de Nossa Senhora";89;51;38
"291955 Luís Eduardo Magalhães";122;75;47
"291960 Macajuba";20;20;-
"291970 Macarani";27;27;-
"291980 Macaúbas";76;61;15
"291990 Macururé";18;18;-
"291992 Madre de Deus";28;28;-
"291995 Maetinga";-;-;-
"292000 Maiquinique";14;14;-
"292010 Mairi";27;27;-
"292020 Malhada";21;21;-
"292030 Malhada de Pedras";-;-;-
"292040 Manoel Vitorino";-;-;-
"292045 Mansidão";-;-;-
"292050 Maracás";58;58;-
"292060 Maragogipe";-;-;-
"292070 Maraú";-;-;-
"292080 Marcionílio Souza";19;19;-
"292090 Mascote";-;-;-
"292100 Mata de São João";58;36;22
"292105 Matina";21;21;-
"292110 Medeiros Neto";32;32;-
"292120 Miguel Calmon";87;79;8
"292130 Milagres";21;21;-
"292140 Mirangaba";19;19;-
"292145 Mirante";-;-;-
"292150 Monte Santo";60;60;-
"292160 Morpará";2;2;-
"292170 Morro do Chapéu";56;47;9
"292180 Mortugaba";24;24;-
"292190 Mucugê";32;32;-
"292200 Mucuri";97;69;28
"292205 Mulungu do Morro";34;34;-
"292210 Mundo Novo";32;32;-
"292220 Muniz Ferreira";-;-;-
"292225 Muquém de São Francisco";-;-;-
"292230 Muritiba";40;40;-
"292240 Mutuípe";45;45;-
"292250 Nazaré";50;50;-
"292260 Nilo Peçanha";-;-;-
"292265 Nordestina";30;30;-
"292270 Nova Canaã";30;30;-
"292273 Nova Fátima";15;15;-
"292275 Nova Ibiá";-;-;-
"292280 Nova Itarana";-;-;-
"292285 Nova Redenção";-;-;-
"292290 Nova Soure";39;39;-
"292300 Nova Viçosa";61;61;-
"292303 Novo Horizonte";-;-;-
"292305 Novo Triunfo";-;-;-
"292310 Olindina";23;23;-
"292320 Oliveira dos Brejinhos";13;13;-
"292330 Ouriçangas";15;15;-
"292335 Ourolândia";17;17;-
"292340 Palmas de Monte Alto";54;54;-
"292350 Palmeiras";-;-;-
"292360 Paramirim";90;86;4
"292370 Paratinga";36;36;-
"292380 Paripiranga";18;18;-
"292390 Pau Brasil";7;7;-
"292400 Paulo Afonso";179;152;27
"292405 Pé de Serra";8;8;-
"292410 Pedrão";-;-;-
"292420 Pedro Alexandre";-;-;-
"292430 Piatã";26;26;-
"292440 Pilão Arcado";30;30;-
"292450 Pindaí";24;24;-
"292460 Pindobaçu";58;58;-
"292465 Pintadas";16;16;-
"292467 Piraí do Norte";-;-;-
"292470 Piripá";17;17;-
"292480 Piritiba";37;37;-
"292490 Planaltino";27;27;-
"292500 Planalto";59;59;-
"292510 Poções";68;68;-
"292520 Pojuca";147;135;12
"292525 Ponto Novo";29;29;-
"292530 Porto Seguro";178;131;47
"292540 Potiraguá";21;21;-
"292550 Prado";42;42;-
"292560 Presidente Dutra";17;17;-
"292570 Presidente Jânio Quadros";-;-;-
"292575 Presidente Tancredo Neves";17;17;-
"292580 Queimadas";50;50;-
"292590 Quijingue";17;17;-
"292593 Quixabeira";-;-;-
"292595 Rafael Jambeiro";22;22;-
"292600 Remanso";71;41;30
"292610 Retirolândia";24;24;-
"292620 Riachão das Neves";29;29;-
"292630 Riachão do Jacuípe";121;115;6
"292640 Riacho de Santana";59;59;-
"292650 Ribeira do Amparo";5;5;-
"292660 Ribeira do Pombal";95;83;12
"292665 Ribeirão do Largo";-;-;-
"292670 Rio de Contas";17;17;-
"292680 Rio do Antônio";-;-;-
"292690 Rio do Pires";27;27;-
"292700 Rio Real";55;55;-
"292710 Rodelas";-;-;-
"292720 Ruy Barbosa";120;113;7
"292730 Salinas da Margarida";9;9;-
"292740 Salvador";8171;5494;2677
"292750 Santa Bárbara";13;13;-
"292760 Santa Brígida";-;-;-
"292770 Santa Cruz Cabrália";22;22;-
"292780 Santa Cruz da Vitória";-;-;-
"292790 Santa Inês";23;23;-
"292805 Santa Luzia";-;-;-
"292810 Santa Maria da Vitória";55;48;7
"292840 Santa Rita de Cássia";24;24;-
"292850 Santa Teresinha";28;28;-
"292800 Santaluz";101;97;4
"292820 Santana";36;36;-
"292830 Santanópolis";13;13;-
"292860 Santo Amaro";88;81;7
"292870 Santo Antônio de Jesus";328;226;102
"292880 Santo Estêvão";87;64;23
"292890 São Desidério";24;24;-
"292895 São Domingos";20;20;-
"292910 São Felipe";18;18;-
"292900 São Félix";90;85;5
"292905 São Félix do Coribe";49;22;27
"292920 São Francisco do Conde";35;34;1
"292925 São Gabriel";34;34;-
"292930 São Gonçalo dos Campos";36;36;-
"292935 São José da Vitória";-;-;-
"292937 São José do Jacuípe";-;-;-
"292940 São Miguel das Matas";29;29;-
"292950 São Sebastião do Passé";53;53;-
"292960 Sapeaçu";27;27;-
"292970 Sátiro Dias";25;25;-
"292975 Saubara";13;13;-
"292980 Saúde";39;39;-
"292990 Seabra";95;91;4
"293000 Sebastião Laranjeiras";20;20;-
"293010 Senhor do Bonfim";136;106;30
"293020 Sento Sé";32;32;-
"293015 Serra do Ramalho";31;31;-
"293030 Serra Dourada";45;45;-
"293040 Serra Preta";25;25;-
"293050 Serrinha";216;189;27
"293060 Serrolândia";33;33;-
"293070 Simões Filho";55;55;-
"293075 Sítio do Mato";18;18;-
"293076 Sítio do Quinto";-;-;-
"293077 Sobradinho";35;35;-
"293080 Souto Soares";12;12;-
"293090 Tabocas do Brejo Velho";32;32;-
"293100 Tanhaçu";-;-;-
"293105 Tanque Novo";30;30;-
"293110 Tanquinho";20;20;-
"293120 Taperoá";26;26;-
"293130 Tapiramutá";33;33;-
"293135 Teixeira de Freitas";289;216;73
"293140 Teodoro Sampaio";-;-;-
"293150 Teofilândia";18;18;-
"293160 Teolândia";24;24;-
"293170 Terra Nova";-;-;-
"293180 Tremedal";19;19;-
"293190 Tucano";58;30;28
"293200 Uauá";24;24;-
"293210 Ubaíra";71;71;-
"293220 Ubaitaba";100;100;-
"293230 Ubatã";37;37;-
"293240 Uibaí";30;30;-
"293245 Umburanas";5;5;-
"293250 Una";47;47;-
"293260 Urandi";34;34;-
"293270 Uruçuca";-;-;-
"293280 Utinga";20;20;-
"293290 Valença";121;112;9
"293300 Valente";64;60;4
"293305 Várzea da Roça";21;21;-
"293310 Várzea do Poço";30;30;-
"293315 Várzea Nova";20;20;-
"293317 Varzedo";-;-;-
"293320 Vera Cruz";27;27;-
"293325 Vereda";12;12;-
"293330 Vitória da Conquista";849;586;263
"293340 Wagner";37;37;-
"293345 Wanderley";28;28;-
"293350 Wenceslau Guimarães";44;44;-
"293360 Xique-Xique";85;85;-
"290000 Município ignorado - BA";-;-;-
"310010 Abadia dos Dourados";17;12;5
"310020 Abaeté";46;41;5
"310030 Abre Campo";66;59;7
"310040 Acaiaca";-;-;-
"310050 Açucena";-;-;-
"310060 Água Boa";15;10;5
"310070 Água Comprida";-;-;-
"310080 Aguanil";-;-;-
"310090 Águas Formosas";65;59;6
"310100 Águas Vermelhas";47;46;1
"310110 Aimorés";53;43;10
"310120 Aiuruoca";30;28;2
"310130 Alagoa";17;13;4
"310140 Albertina";-;-;-
"310150 Além Paraíba";83;38;45
"310160 Alfenas";453;193;260
"310163 Alfredo Vasconcelos";-;-;-
"310170 Almenara";142;71;71
"310180 Alpercata";-;-;-
"310190 Alpinópolis";35;31;4
"310200 Alterosa";30;26;4
"310205 Alto Caparaó";-;-;-
"315350 Alto Jequitibá";-;-;-
"310210 Alto Rio Doce";17;16;1
"310220 Alvarenga";-;-;-
"310230 Alvinópolis";35;30;5
"310240 Alvorada de Minas";-;-;-
"310250 Amparo do Serra";-;-;-
"310260 Andradas";65;50;15
"310280 Andrelândia";49;36;13
"310285 Angelândia";-;-;-
"310290 Antônio Carlos";12;12;-
"310300 Antônio Dias";-;-;-
"310310 Antônio Prado de Minas";-;-;-
"310320 Araçaí";-;-;-
"310330 Aracitaba";-;-;-
"310340 Araçuaí";72;60;12
"310350 Araguari";169;91;78
"310360 Arantina";-;-;-
"310370 Araponga";-;-;-
"310375 Araporã";13;13;-
"310380 Arapuá";-;-;-
"310390 Araújos";-;-;-
"310400 Araxá";318;157;161
"310410 Arceburgo";8;8;-
"310420 Arcos";64;47;17
"310430 Areado";14;14;-
"310440 Argirita";-;-;-
"310445 Aricanduva";-;-;-
"310450 Arinos";12;12;-
"310460 Astolfo Dutra";-;-;-
"310470 Ataléia";35;32;3
"310480 Augusto de Lima";-;-;-
"310490 Baependi";59;48;11
"310500 Baldim";-;-;-
"310510 Bambuí";242;102;140
"310520 Bandeira";-;-;-
"310530 Bandeira do Sul";-;-;-
"310540 Barão de Cocais";34;34;-
"310550 Barão de Monte Alto";-;-;-
"310560 Barbacena";1060;457;603
"310570 Barra Longa";-;-;-
"310590 Barroso";49;40;9
"310600 Bela Vista de Minas";-;-;-
"310610 Belmiro Braga";-;-;-
"310620 Belo Horizonte";8730;5015;3715
"310630 Belo Oriente";-;-;-
"310640 Belo Vale";31;27;4
"310650 Berilo";44;44;-
"310665 Berizal";-;-;-
"310660 Bertópolis";-;-;-
"310670 Betim";638;386;252
"310680 Bias Fortes";-;-;-
"310690 Bicas";35;28;7
"310700 Biquinhas";-;-;-
"310710 Boa Esperança";71;55;16
"310720 Bocaina de Minas";-;-;-
"310730 Bocaiúva";64;64;-
"310740 Bom Despacho";83;60;23
"310750 Bom Jardim de Minas";29;29;-
"310760 Bom Jesus da Penha";-;-;-
"310770 Bom Jesus do Amparo";-;-;-
"310780 Bom Jesus do Galho";50;48;2
"310790 Bom Repouso";-;-;-
"310800 Bom Sucesso";66;50;16
"310810 Bonfim";-;-;-
"310820 Bonfinópolis de Minas";7;7;-
"310825 Bonito de Minas";-;-;-
"310830 Borda da Mata";8;-;8
"310840 Botelhos";19;15;4
