"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"251080 Patos";3;6;5;8
"251090 Paulista";-;-;-;-
"251100 Pedra Branca";-;-;-;-
"251110 Pedra Lavrada";-;-;-;-
"251120 Pedras de Fogo";-;-;-;5
"251272 Pedro Régis";-;-;-;1
"251130 Piancó";2;4;3;-
"251140 Picuí";3;3;3;-
"251150 Pilar";-;2;2;-
"251160 Pilões";-;-;-;-
"251170 Pilõezinhos";-;-;-;-
"251180 Pirpirituba";-;1;1;-
"251190 Pitimbu";-;-;-;-
"251200 Pocinhos";-;-;-;-
"251203 Poço Dantas";-;-;-;-
"251207 Poço de José de Moura";-;-;-;-
"251210 Pombal";3;3;3;-
"251220 Prata";-;-;-;-
"251230 Princesa Isabel";-;-;-;9
"251240 Puxinanã";-;-;-;-
"251250 Queimadas";7;2;2;8
"251260 Quixabá";-;-;-;-
"251270 Remígio";3;3;3;-
"251274 Riachão";-;-;-;-
"251275 Riachão do Bacamarte";-;-;-;-
"251276 Riachão do Poço";-;-;-;-
"251278 Riacho de Santo Antônio";-;-;-;-
"251280 Riacho dos Cavalos";-;-;-;-
"251290 Rio Tinto";-;-;-;2
"251300 Salgadinho";-;-;-;-
"251310 Salgado de São Félix";-;-;-;-
"251315 Santa Cecília";-;-;-;-
"251320 Santa Cruz";1;-;-;-
"251330 Santa Helena";-;-;-;-
"251335 Santa Inês";-;5;5;-
"251340 Santa Luzia";3;3;4;-
"251370 Santa Rita";13;-;-;15
"251380 Santa Teresinha";-;-;-;-
"251350 Santana de Mangueira";-;-;-;-
"251360 Santana dos Garrotes";-;-;-;-
"251385 Santo André";-;3;3;-
"251392 São Bentinho";-;-;-;-
"251390 São Bento";-;-;-;-
"251396 São Domingos";-;-;-;-
"251394 São Domingos do Cariri";-;-;-;-
"251398 São Francisco";-;-;-;-
"251400 São João do Cariri";-;-;-;-
"250070 São João do Rio do Peixe";-;-;-;-
"251410 São João do Tigre";-;-;-;-
"251420 São José da Lagoa Tapada";-;-;-;-
"251430 São José de Caiana";-;-;-;-
"251440 São José de Espinharas";-;-;-;-
"251450 São José de Piranhas";-;-;-;-
"251455 São José de Princesa";-;-;-;-
"251460 São José do Bonfim";-;-;-;-
"251465 São José do Brejo do Cruz";-;-;-;-
"251470 São José do Sabugi";-;-;-;-
"251480 São José dos Cordeiros";-;-;-;-
"251445 São José dos Ramos";-;-;-;-
"251490 São Mamede";-;-;-;-
"251500 São Miguel de Taipu";-;-;-;-
"251510 São Sebastião de Lagoa de Roça";-;-;-;-
"251520 São Sebastião do Umbuzeiro";-;-;-;-
"251540 São Vicente do Seridó";-;-;-;1
"251530 Sapé";-;-;-;7
"251550 Serra Branca";1;-;-;-
"251560 Serra da Raiz";-;-;-;-
"251570 Serra Grande";-;-;-;-
"251580 Serra Redonda";-;-;-;-
"251590 Serraria";-;-;-;-
"251593 Sertãozinho";-;-;-;-
"251597 Sobrado";-;-;-;-
"251600 Solânea";-;2;1;2
"251610 Soledade";-;-;-;-
"251615 Sossêgo";-;-;-;-
"251620 Sousa";4;-;2;5
"251630 Sumé";5;5;4;2
"251640 Tacima";-;-;-;-
"251650 Taperoá";2;2;2;-
"251660 Tavares";1;-;-;2
"251670 Teixeira";-;-;-;-
"251675 Tenório";-;-;-;-
"251680 Triunfo";-;-;-;-
"251690 Uiraúna";-;-;-;3
"251700 Umbuzeiro";-;-;-;-
"251710 Várzea";-;-;-;-
"251720 Vieirópolis";-;-;-;-
"250550 Vista Serrana";-;-;-;-
"251740 Zabelê";-;-;-;-
"250000 Município ignorado - PB";-;-;-;-
"260005 Abreu e Lima";16;8;15;6
"260010 Afogados da Ingazeira";3;13;6;-
"260020 Afrânio";-;-;-;3
"260030 Agrestina";-;-;-;5
"260040 Água Preta";-;3;3;3
"260050 Águas Belas";-;-;-;-
"260060 Alagoinha";-;-;-;3
"260070 Aliança";-;-;-;-
"260080 Altinho";-;-;-;6
"260090 Amaraji";-;1;1;-
"260100 Angelim";-;-;-;2
"260105 Araçoiaba";-;-;-;3
"260110 Araripina";3;3;3;8
"260120 Arcoverde";9;8;7;1
"260130 Barra de Guabiraba";-;-;-;1
"260140 Barreiros";-;-;-;6
"260150 Belém de Maria";-;-;-;-
"260160 Belém do São Francisco";-;-;-;1
"260170 Belo Jardim";2;2;2;6
"260180 Betânia";-;-;-;-
"260190 Bezerros";-;-;-;12
"260200 Bodocó";-;-;-;2
"260210 Bom Conselho";-;-;-;4
"260220 Bom Jardim";-;-;-;-
"260230 Bonito";-;-;-;6
"260240 Brejão";-;-;-;-
"260250 Brejinho";-;-;-;-
"260260 Brejo da Madre de Deus";-;-;-;-
"260270 Buenos Aires";-;-;-;1
"260280 Buíque";-;-;-;7
"260290 Cabo de Santo Agostinho";11;17;13;27
"260300 Cabrobó";2;3;3;-
"260310 Cachoeirinha";-;-;-;2
"260320 Caetés";2;-;-;3
"260330 Calçado";3;-;-;3
"260340 Calumbi";-;-;-;-
"260345 Camaragibe";8;3;10;16
"260350 Camocim de São Félix";-;-;-;2
"260360 Camutanga";-;6;-;-
"260370 Canhotinho";-;-;-;3
"260380 Capoeiras";-;-;-;1
"260390 Carnaíba";-;-;-;-
"260392 Carnaubeira da Penha";-;-;-;-
"260400 Carpina";2;-;-;4
"260410 Caruaru";48;24;18;72
"260415 Casinhas";2;2;1;-
"260420 Catende";3;-;-;-
"260430 Cedro";-;-;-;2
"260440 Chã de Alegria";-;-;-;-
"260450 Chã Grande";1;1;1;3
"260460 Condado";4;4;3;-
"260470 Correntes";-;1;-;4
"260480 Cortês";1;1;1;-
"260490 Cumaru";-;2;2;-
"260500 Cupira";-;-;-;5
"260510 Custódia";-;-;-;7
"260515 Dormentes";-;-;-;-
"260520 Escada";7;3;3;2
"260530 Exu";-;-;-;2
"260540 Feira Nova";-;-;-;1
"260545 Fernando de Noronha";-;-;-;8
"260550 Ferreiros";-;-;-;-
"260560 Flores";-;-;1;1
"260570 Floresta";-;-;-;3
"260580 Frei Miguelinho";-;-;-;4
"260590 Gameleira";-;5;5;-
"260600 Garanhuns";10;9;8;9
"260610 Glória do Goitá";-;-;-;2
"260620 Goiana";10;6;7;9
"260630 Granito";-;-;-;2
"260640 Gravatá";-;-;-;-
"260650 Iati";-;-;-;3
"260660 Ibimirim";-;-;-;2
"260670 Ibirajuba";-;-;-;-
"260680 Igarassu";13;10;24;14
"260690 Iguaracy";-;-;-;-
"260760 Ilha de Itamaracá";-;-;-;3
"260700 Inajá";-;-;-;-
"260710 Ingazeira";-;-;-;-
"260720 Ipojuca";4;2;4;18
"260730 Ipubi";-;-;-;4
"260740 Itacuruba";-;-;-;-
"260750 Itaíba";-;-;-;-
"260765 Itambé";-;-;-;3
"260770 Itapetim";-;-;-;-
"260775 Itapissuma";-;-;-;5
"260780 Itaquitinga";-;-;-;5
"260790 Jaboatão dos Guararapes";20;15;12;42
"260795 Jaqueira";-;-;-;8
"260800 Jataúba";-;-;-;4
"260805 Jatobá";-;-;-;-
"260810 João Alfredo";-;-;-;3
"260820 Joaquim Nabuco";-;-;-;-
"260825 Jucati";-;-;-;-
"260830 Jupi";-;-;-;1
"260840 Jurema";-;-;-;-
"260850 Lagoa de Itaenga";-;-;-;-
"260845 Lagoa do Carro";-;-;-;-
"260860 Lagoa do Ouro";1;-;1;1
"260870 Lagoa dos Gatos";-;-;-;-
"260875 Lagoa Grande";2;2;2;-
"260880 Lajedo";-;-;-;-
"260890 Limoeiro";-;-;-;10
"260900 Macaparana";-;-;-;1
"260910 Machados";-;-;-;4
"260915 Manari";-;-;-;3
"260920 Maraial";-;-;-;-
"260930 Mirandiba";-;-;-;-
"261430 Moreilândia";-;-;-;2
"260940 Moreno";3;3;3;3
"260950 Nazaré da Mata";3;-;-;4
"260960 Olinda";18;10;3;20
"260970 Orobó";-;-;-;-
"260980 Orocó";-;-;-;-
"260990 Ouricuri";6;3;2;2
"261000 Palmares";8;4;6;3
"261010 Palmeirina";-;-;-;-
"261020 Panelas";-;-;-;2
"261030 Paranatama";-;-;-;-
"261040 Parnamirim";-;-;-;-
"261050 Passira";-;-;-;-
"261060 Paudalho";-;-;-;-
"261070 Paulista";8;39;31;9
"261080 Pedra";1;3;3;-
"261090 Pesqueira";-;2;2;-
"261100 Petrolândia";5;6;5;-
"261110 Petrolina";32;17;6;44
"261120 Poção";-;-;-;2
"261130 Pombos";-;-;-;3
"261140 Primavera";-;-;-;-
"261150 Quipapá";-;-;-;1
"261153 Quixaba";-;-;-;-
"261160 Recife";182;124;126;469
"261170 Riacho das Almas";-;-;-;3
"261180 Ribeirão";-;-;-;3
"261190 Rio Formoso";-;-;-;4
"261200 Sairé";-;-;-;2
"261210 Salgadinho";-;-;-;-
"261220 Salgueiro";10;8;10;6
"261230 Saloá";-;-;-;4
"261240 Sanharó";1;-;-;2
"261245 Santa Cruz";-;-;-;1
"261247 Santa Cruz da Baixa Verde";-;-;-;-
"261250 Santa Cruz do Capibaribe";8;2;2;12
"261255 Santa Filomena";-;4;3;-
"261260 Santa Maria da Boa Vista";1;1;1;-
"261270 Santa Maria do Cambucá";-;-;-;-
"261280 Santa Terezinha";-;-;-;1
"261290 São Benedito do Sul";-;-;-;-
"261300 São Bento do Una";-;-;-;-
"261310 São Caitano";-;-;-;3
"261320 São João";-;-;-;3
"261330 São Joaquim do Monte";-;4;3;-
"261340 São José da Coroa Grande";-;3;3;-
"261350 São José do Belmonte";-;-;-;2
"261360 São José do Egito";-;-;-;2
"261370 São Lourenço da Mata";4;12;4;15
"261380 São Vicente Ferrer";-;-;-;2
"261390 Serra Talhada";4;7;7;12
"261400 Serrita";-;-;-;2
"261410 Sertânia";2;3;4;-
"261420 Sirinhaém";-;-;-;1
"261440 Solidão";-;1;-;-
"261450 Surubim";9;9;9;-
"261460 Tabira";-;3;3;4
"261470 Tacaimbó";-;-;-;-
"261480 Tacaratu";-;-;-;2
"261485 Tamandaré";-;-;-;2
"261500 Taquaritinga do Norte";-;-;-;2
"261510 Terezinha";-;-;-;-
"261520 Terra Nova";-;-;-;1
"261530 Timbaúba";5;4;5;-
"261540 Toritama";6;6;6;-
"261550 Tracunhaém";-;-;-;-
"261560 Trindade";-;2;2;2
"261570 Triunfo";-;-;-;-
"261580 Tupanatinga";-;-;-;2
"261590 Tuparetama";-;-;-;-
"261600 Venturosa";1;-;-;2
"261610 Verdejante";-;-;-;1
"261618 Vertente do Lério";-;-;-;-
"261620 Vertentes";-;-;-;10
"261630 Vicência";-;-;-;2
"261640 Vitória de Santo Antão";8;3;3;2
"261650 Xexéu";-;-;-;-
"260000 Município ignorado - PE";-;-;-;-
"270010 Água Branca";-;-;-;4
"270020 Anadia";-;-;-;3
"270030 Arapiraca";13;-;-;14
"270040 Atalaia";-;-;-;8
"270050 Barra de Santo Antônio";-;-;-;2
"270060 Barra de São Miguel";-;-;-;-
"270070 Batalha";-;-;-;2
"270080 Belém";-;-;-;-
"270090 Belo Monte";-;-;-;-
"270100 Boca da Mata";-;-;-;-
"270110 Branquinha";-;-;-;1
"270120 Cacimbinhas";-;-;-;-
"270130 Cajueiro";-;-;-;2
"270135 Campestre";-;-;-;-
"270140 Campo Alegre";-;-;-;5
"270150 Campo Grande";-;-;-;-
"270160 Canapi";-;-;-;-
"270170 Capela";-;-;-;2
"270180 Carneiros";-;-;-;-
"270190 Chã Preta";-;-;-;-
"270200 Coité do Nóia";-;-;-;-
"270210 Colônia Leopoldina";-;-;-;3
"270220 Coqueiro Seco";-;-;-;1
"270230 Coruripe";-;-;-;-
"270235 Craíbas";-;-;-;1
"270240 Delmiro Gouveia";3;8;4;4
"270250 Dois Riachos";-;5;4;-
"270255 Estrela de Alagoas";-;-;-;-
"270260 Feira Grande";-;4;4;-
"270270 Feliz Deserto";-;-;-;-
"270280 Flexeiras";-;-;-;4
"270290 Girau do Ponciano";-;-;-;2
"270300 Ibateguara";-;-;-;4
"270310 Igaci";-;-;-;2
"270320 Igreja Nova";-;-;-;6
"270330 Inhapi";-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-
"270350 Jacuípe";-;-;-;-
"270360 Japaratinga";-;-;-;-
"270370 Jaramataia";-;-;-;-
"270375 Jequiá da Praia";-;-;-;-
"270380 Joaquim Gomes";-;-;-;-
"270390 Jundiá";-;-;-;-
"270400 Junqueiro";-;-;-;2
"270410 Lagoa da Canoa";-;-;-;-
"270420 Limoeiro de Anadia";-;-;-;2
"270430 Maceió";42;45;29;117
"270440 Major Isidoro";-;-;-;-
"270490 Mar Vermelho";-;-;-;-
"270450 Maragogi";2;-;-;4
"270460 Maravilha";-;-;-;-
"270470 Marechal Deodoro";-;-;-;-
"270480 Maribondo";4;-;-;3
"270500 Mata Grande";-;-;-;3
"270510 Matriz de Camaragibe";-;-;-;-
"270520 Messias";-;-;-;-
"270530 Minador do Negrão";-;-;-;-
"270540 Monteirópolis";-;-;-;-
"270550 Murici";-;-;-;4
"270560 Novo Lino";-;-;-;-
"270570 Olho d'Água das Flores";-;-;-;2
"270580 Olho d'Água do Casado";-;-;-;-
"270590 Olho d'Água Grande";-;-;-;-
"270600 Olivença";-;1;1;-
"270610 Ouro Branco";-;-;-;-
"270620 Palestina";-;-;-;-
"270630 Palmeira dos Índios";9;-;11;8
"270640 Pão de Açúcar";-;-;-;-
"270642 Pariconha";-;-;-;-
"270644 Paripueira";-;-;-;4
"270650 Passo de Camaragibe";3;2;2;-
"270660 Paulo Jacinto";-;-;-;2
"270670 Penedo";3;-;-;11
"270680 Piaçabuçu";-;-;-;-
"270690 Pilar";-;4;2;6
"270700 Pindoba";-;-;-;-
"270710 Piranhas";-;-;-;4
"270720 Poço das Trincheiras";-;-;-;-
"270730 Porto Calvo";-;-;-;-
"270740 Porto de Pedras";-;-;-;-
"270750 Porto Real do Colégio";-;-;-;4
"270760 Quebrangulo";-;-;-;2
"270770 Rio Largo";5;4;6;-
"270780 Roteiro";-;-;-;-
"270790 Santa Luzia do Norte";-;-;-;-
"270800 Santana do Ipanema";11;9;9;4
"270810 Santana do Mundaú";-;-;-;-
"270820 São Brás";-;-;-;-
"270830 São José da Laje";-;-;-;2
"270840 São José da Tapera";-;-;-;2
"270850 São Luís do Quitunde";-;-;-;1
"270860 São Miguel dos Campos";7;3;3;8
"270870 São Miguel dos Milagres";-;-;-;-
"270880 São Sebastião";-;-;-;4
"270890 Satuba";-;-;-;-
"270895 Senador Rui Palmeira";-;-;-;-
"270900 Tanque d'Arca";-;-;-;-
"270910 Taquarana";-;5;4;-
"270915 Teotônio Vilela";3;2;2;-
"270920 Traipu";-;-;-;2
"270930 União dos Palmares";-;-;-;8
"270940 Viçosa";2;-;1;4
"270000 Município ignorado - AL";-;-;-;-
"280010 Amparo de São Francisco";-;-;-;-
"280020 Aquidabã";6;6;2;-
"280030 Aracaju";48;57;44;23
"280040 Arauá";4;3;3;6
"280050 Areia Branca";-;-;-;-
"280060 Barra dos Coqueiros";3;-;-;5
"280067 Boquim";4;5;3;2
"280070 Brejo Grande";-;-;-;-
"280100 Campo do Brito";-;-;-;-
"280110 Canhoba";-;-;-;-
"280120 Canindé de São Francisco";-;-;-;4
"280130 Capela";4;4;6;-
"280140 Carira";3;3;2;-
"280150 Carmópolis";-;-;-;-
"280160 Cedro de São João";-;-;-;-
"280170 Cristinápolis";3;3;3;-
"280190 Cumbe";-;-;-;-
"280200 Divina Pastora";-;-;-;-
"280210 Estância";9;6;6;10
"280220 Feira Nova";-;-;-;-
"280230 Frei Paulo";2;-;-;6
"280240 Gararu";-;-;-;-
"280250 General Maynard";-;-;-;-
"280260 Gracho Cardoso";-;-;-;-
"280270 Ilha das Flores";-;-;-;-
"280280 Indiaroba";-;-;-;-
"280290 Itabaiana";3;2;2;4
"280300 Itabaianinha";-;-;-;-
"280310 Itabi";-;-;-;-
"280320 Itaporanga d'Ajuda";7;6;6;-
"280330 Japaratuba";3;-;-;8
"280340 Japoatã";-;-;-;6
"280350 Lagarto";-;-;-;26
"280360 Laranjeiras";2;3;3;3
"280370 Macambira";-;-;-;-
"280380 Malhada dos Bois";-;-;-;-
"280390 Malhador";-;-;-;-
"280400 Maruim";-;-;-;4
"280410 Moita Bonita";-;-;-;-
"280420 Monte Alegre de Sergipe";-;-;1;-
"280430 Muribeca";-;-;-;-
"280440 Neópolis";-;-;-;-
"280445 Nossa Senhora Aparecida";-;-;-;-
"280450 Nossa Senhora da Glória";7;4;-;-
"280460 Nossa Senhora das Dores";-;-;-;-
"280470 Nossa Senhora de Lourdes";-;-;-;-
"280480 Nossa Senhora do Socorro";5;-;-;16
"280490 Pacatuba";-;-;-;-
"280500 Pedra Mole";-;-;-;-
"280510 Pedrinhas";-;-;-;-
"280520 Pinhão";-;-;-;-
"280530 Pirambu";-;-;-;-
"280540 Poço Redondo";-;-;-;4
"280550 Poço Verde";-;-;-;12
"280560 Porto da Folha";-;-;-;4
"280570 Propriá";4;4;4;3
"280580 Riachão do Dantas";-;-;-;-
"280590 Riachuelo";-;-;-;-
"280600 Ribeirópolis";2;4;3;-
"280610 Rosário do Catete";3;3;3;-
"280620 Salgado";-;-;-;-
"280630 Santa Luzia do Itanhy";8;5;-;-
"280650 Santa Rosa de Lima";-;3;1;-
"280640 Santana do São Francisco";-;-;-;-
"280660 Santo Amaro das Brotas";-;-;-;-
"280670 São Cristóvão";2;-;6;8
"280680 São Domingos";-;-;-;-
"280690 São Francisco";-;-;-;-
"280700 São Miguel do Aleixo";-;-;-;-
"280710 Simão Dias";3;4;4;2
"280720 Siriri";-;-;-;-
"280730 Telha";-;-;-;-
"280740 Tobias Barreto";4;3;3;-
"280750 Tomar do Geru";2;-;-;-
"280760 Umbaúba";2;2;3;5
"280000 Município ignorado - SE";-;-;-;-
"290010 Abaíra";-;-;-;-
"290020 Abaré";-;-;-;2
"290030 Acajutiba";-;-;-;-
"290035 Adustina";-;-;-;-
"290040 Água Fria";-;-;-;6
"290060 Aiquara";2;3;4;-
"290070 Alagoinhas";19;11;6;34
"290080 Alcobaça";1;1;1;-
"290090 Almadina";-;-;-;-
"290100 Amargosa";-;-;-;4
"290110 Amélia Rodrigues";-;-;-;8
"290115 América Dourada";-;-;-;-
"290120 Anagé";-;-;-;5
"290130 Andaraí";2;1;2;1
"290135 Andorinha";-;-;3;2
"290140 Angical";-;-;-;-
"290150 Anguera";-;1;1;1
"290160 Antas";-;-;-;2
"290170 Antônio Cardoso";-;-;-;-
"290180 Antônio Gonçalves";-;-;-;-
"290190 Aporá";-;-;-;-
"290195 Apuarema";-;-;-;-
"290205 Araças";-;-;-;-
"290200 Aracatu";-;-;-;2
"290210 Araci";-;-;-;-
"290220 Aramari";-;-;-;-
"290225 Arataca";-;-;-;-
"290230 Aratuípe";-;-;-;-
"290240 Aurelino Leal";-;3;3;-
"290250 Baianópolis";8;4;4;2
"290260 Baixa Grande";-;-;-;-
"290265 Banzaê";-;-;-;-
"290270 Barra";3;-;-;9
"290280 Barra da Estiva";-;-;-;-
"290290 Barra do Choça";-;2;4;-
"290300 Barra do Mendes";-;-;-;-
"290310 Barra do Rocha";-;-;-;-
"290320 Barreiras";10;4;4;10
"290323 Barro Alto";-;-;-;-
"290330 Barro Preto";-;-;-;-
"290327 Barrocas";-;-;-;-
"290340 Belmonte";-;1;1;-
"290350 Belo Campo";-;1;-;2
"290360 Biritinga";-;-;-;3
"290370 Boa Nova";-;-;-;-
"290380 Boa Vista do Tupim";-;-;-;-
"290390 Bom Jesus da Lapa";7;12;8;-
"290395 Bom Jesus da Serra";-;-;-;2
"290400 Boninal";8;-;-;2
"290405 Bonito";3;3;3;3
"290410 Boquira";-;-;-;-
"290420 Botuporã";-;-;-;4
"290430 Brejões";-;-;-;2
"290440 Brejolândia";2;2;2;-
"290450 Brotas de Macaúbas";-;-;-;-
"290460 Brumado";4;4;4;6
"290470 Buerarema";-;-;-;-
"290475 Buritirama";-;-;-;-
"290480 Caatiba";-;-;-;2
"290485 Cabaceiras do Paraguaçu";-;-;-;-
"290490 Cachoeira";-;-;-;4
"290500 Caculé";-;-;-;3
"290510 Caém";-;-;-;-
"290515 Caetanos";-;-;-;3
"290520 Caetité";5;4;4;-
"290530 Cafarnaum";-;-;-;-
"290540 Cairu";-;-;-;4
"290550 Caldeirão Grande";-;-;-;-
"290560 Camacan";-;4;4;2
"290570 Camaçari";17;2;2;33
"290580 Camamu";3;3;3;6
"290590 Campo Alegre de Lourdes";-;-;-;4
"290600 Campo Formoso";1;6;4;-
"290610 Canápolis";6;4;4;4
"290620 Canarana";-;-;-;3
"290630 Canavieiras";-;-;-;-
"290640 Candeal";1;2;2;-
"290650 Candeias";6;5;8;4
"290660 Candiba";-;-;-;-
"290670 Cândido Sales";2;2;2;-
"290680 Cansanção";-;1;-;3
"290682 Canudos";-;-;-;1
"290685 Capela do Alto Alegre";-;2;2;2
"290687 Capim Grosso";12;7;6;-
"290689 Caraíbas";-;-;-;1
"290690 Caravelas";-;2;2;-
"290700 Cardeal da Silva";-;-;-;4
"290710 Carinhanha";-;-;-;2
"290720 Casa Nova";-;-;-;5
"290730 Castro Alves";5;24;4;-
"290740 Catolândia";-;-;-;-
"290750 Catu";1;1;1;13
"290755 Caturama";-;2;-;-
"290760 Central";-;-;-;-
"290770 Chorrochó";-;-;-;-
"290780 Cícero Dantas";-;-;-;4
"290790 Cipó";-;-;-;4
"290800 Coaraci";2;2;2;7
"290810 Cocos";-;-;-;1
"290820 Conceição da Feira";-;-;-;14
"290830 Conceição do Almeida";-;-;-;4
"290840 Conceição do Coité";-;-;3;5
"290850 Conceição do Jacuípe";-;-;-;14
"290860 Conde";3;3;3;1
"290870 Condeúba";-;2;2;1
"290880 Contendas do Sincorá";2;4;4;-
"290890 Coração de Maria";-;-;-;2
"290900 Cordeiros";-;-;-;3
"290910 Coribe";-;-;-;3
"290920 Coronel João Sá";-;-;-;-
"290930 Correntina";-;-;1;2
"290940 Cotegipe";-;2;2;-
"290950 Cravolândia";-;-;-;-
"290960 Crisópolis";-;-;-;4
"290970 Cristópolis";2;3;2;-
"290980 Cruz das Almas";2;6;6;1
"290990 Curaçá";-;3;3;-
"291000 Dário Meira";-;-;-;-
"291005 Dias d'Ávila";4;6;6;15
"291010 Dom Basílio";1;2;1;-
"291020 Dom Macedo Costa";-;-;-;-
"291030 Elísio Medrado";-;-;-;-
"291040 Encruzilhada";-;-;-;-
"291050 Entre Rios";2;2;-;9
"290050 Érico Cardoso";-;-;-;-
"291060 Esplanada";-;-;-;1
"291070 Euclides da Cunha";5;5;5;7
"291072 Eunápolis";12;10;10;13
"291075 Fátima";-;-;-;-
"291077 Feira da Mata";-;-;-;-
"291080 Feira de Santana";40;54;45;55
"291085 Filadélfia";-;-;-;-
"291090 Firmino Alves";-;-;-;-
"291100 Floresta Azul";-;-;-;-
"291110 Formosa do Rio Preto";-;2;3;2
"291120 Gandu";-;-;-;2
"291125 Gavião";-;-;-;-
"291130 Gentio do Ouro";-;-;-;-
"291140 Glória";-;-;-;-
"291150 Gongogi";-;-;-;3
"291160 Governador Mangabeira";3;4;3;-
"291165 Guajeru";-;3;3;-
"291170 Guanambi";10;5;5;17
"291180 Guaratinga";-;-;-;-
"291185 Heliópolis";-;-;-;-
"291190 Iaçu";-;-;-;6
"291200 Ibiassucê";-;-;-;6
"291210 Ibicaraí";3;-;-;5
"291220 Ibicoara";-;-;-;-
"291230 Ibicuí";-;-;-;-
"291240 Ibipeba";2;3;2;-
"291250 Ibipitanga";-;-;-;-
"291260 Ibiquera";-;-;-;-
"291270 Ibirapitanga";-;-;-;-
"291280 Ibirapuã";-;-;-;3
"291290 Ibirataia";-;9;-;13
"291300 Ibitiara";-;-;-;-
"291310 Ibititá";-;-;-;-
"291320 Ibotirama";-;-;-;4
"291330 Ichu";-;-;-;2
"291340 Igaporã";-;-;-;1
"291345 Igrapiúna";1;2;2;-
"291350 Iguaí";1;-;1;2
"291360 Ilhéus";21;14;12;18
"291370 Inhambupe";3;3;3;-
"291380 Ipecaetá";4;-;-;4
"291390 Ipiaú";-;-;-;5
"291400 Ipirá";-;-;-;9
"291410 Ipupiara";-;-;-;3
"291420 Irajuba";-;-;-;1
"291430 Iramaia";-;-;-;-
"291440 Iraquara";-;-;-;1
"291450 Irará";-;3;3;1
"291460 Irecê";10;6;7;10
"291465 Itabela";-;-;-;-
"291470 Itaberaba";-;-;-;1
"291480 Itabuna";7;21;19;4
"291490 Itacaré";-;-;-;-
"291500 Itaeté";-;-;-;4
"291510 Itagi";-;3;2;-
"291520 Itagibá";-;-;-;-
"291530 Itagimirim";-;-;-;1
"291535 Itaguaçu da Bahia";-;-;-;-
"291540 Itaju do Colônia";-;-;-;-
"291550 Itajuípe";-;-;-;3
"291560 Itamaraju";4;3;-;2
"291570 Itamari";-;-;-;-
"291580 Itambé";1;2;2;-
"291590 Itanagra";-;-;-;-
"291600 Itanhém";-;-;-;1
"291610 Itaparica";5;-;-;5
"291620 Itapé";-;-;-;3
"291630 Itapebi";-;-;-;-
"291640 Itapetinga";4;4;5;3
"291650 Itapicuru";-;-;-;4
"291660 Itapitanga";-;-;-;1
"291670 Itaquara";-;2;1;-
"291680 Itarantim";-;-;3;1
"291685 Itatim";-;-;-;-
"291690 Itiruçu";-;-;-;5
"291700 Itiúba";-;-;-;1
"291710 Itororó";-;-;-;2
"291720 Ituaçu";-;-;-;-
"291730 Ituberá";-;-;-;5
"291733 Iuiú";3;3;3;-
"291735 Jaborandi";-;-;-;4
"291740 Jacaraci";-;-;-;-
"291750 Jacobina";-;2;2;26
"291760 Jaguaquara";-;-;-;7
"291770 Jaguarari";-;1;1;2
"291780 Jaguaripe";-;-;-;-
"291790 Jandaíra";-;-;-;-
"291800 Jequié";14;8;6;24
"291810 Jeremoabo";-;3;-;2
"291820 Jiquiriçá";-;-;-;-
"291830 Jitaúna";-;-;-;3
"291835 João Dourado";-;-;-;-
"291840 Juazeiro";5;6;6;21
"291845 Jucuruçu";1;-;-;2
"291850 Jussara";-;-;-;-
"291855 Jussari";-;-;-;3
"291860 Jussiape";-;-;-;6
"291870 Lafaiete Coutinho";-;-;-;-
"291875 Lagoa Real";-;-;-;-
"291880 Laje";4;9;10;1
"291890 Lajedão";-;-;-;-
"291900 Lajedinho";-;-;-;-
"291905 Lajedo do Tabocal";-;-;-;-
"291910 Lamarão";-;-;-;-
"291915 Lapão";-;-;-;-
"291920 Lauro de Freitas";23;10;17;23
"291930 Lençóis";-;-;1;2
"291940 Licínio de Almeida";-;-;-;2
"291950 Livramento de Nossa Senhora";2;2;2;8
"291955 Luís Eduardo Magalhães";-;-;-;-
"291960 Macajuba";-;-;-;-
"291970 Macarani";-;2;-;-
"291980 Macaúbas";7;8;2;6
"291990 Macururé";-;-;-;3
"291992 Madre de Deus";4;3;3;1
"291995 Maetinga";-;-;-;2
"292000 Maiquinique";-;-;-;2
"292010 Mairi";2;1;1;2
"292020 Malhada";-;-;-;2
"292030 Malhada de Pedras";-;-;-;-
"292040 Manoel Vitorino";-;-;-;-
"292045 Mansidão";-;-;-;-
"292050 Maracás";-;-;-;7
"292060 Maragogipe";2;2;2;2
"292070 Maraú";-;-;-;-
"292080 Marcionílio Souza";-;-;-;1
"292090 Mascote";-;-;-;-
"292100 Mata de São João";6;5;5;4
"292105 Matina";-;-;-;4
"292110 Medeiros Neto";-;1;1;1
"292120 Miguel Calmon";3;3;3;-
"292130 Milagres";-;-;-;4
"292140 Mirangaba";-;-;-;-
"292145 Mirante";3;3;3;1
"292150 Monte Santo";7;-;-;5
"292160 Morpará";-;-;-;-
"292170 Morro do Chapéu";3;3;3;-
"292180 Mortugaba";-;-;-;-
"292190 Mucugê";-;-;-;3
"292200 Mucuri";-;-;-;10
