"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"310850 Botumirim";-;-;-
"310870 Brás Pires";-;-;-
"310855 Brasilândia de Minas";1;1;1
"310860 Brasília de Minas";13;13;3
"310880 Braúnas";-;-;-
"310890 Brazópolis";1;1;1
"310900 Brumadinho";8;8;2
"310910 Bueno Brandão";2;2;1
"310920 Buenópolis";-;-;-
"310925 Bugre";-;-;-
"310930 Buritis";1;1;1
"310940 Buritizeiro";1;1;1
"310945 Cabeceira Grande";-;-;-
"310950 Cabo Verde";3;3;2
"310960 Cachoeira da Prata";-;-;-
"310970 Cachoeira de Minas";-;-;-
"310270 Cachoeira de Pajeú";-;-;-
"310980 Cachoeira Dourada";-;-;-
"310990 Caetanópolis";-;-;-
"311000 Caeté";8;8;1
"311010 Caiana";-;-;-
"311020 Cajuri";-;-;-
"311030 Caldas";-;-;-
"311040 Camacho";-;-;-
"311050 Camanducaia";1;1;1
"311060 Cambuí";4;4;1
"311070 Cambuquira";1;1;1
"311080 Campanário";-;-;-
"311090 Campanha";3;3;2
"311100 Campestre";1;1;1
"311110 Campina Verde";-;-;-
"311115 Campo Azul";-;-;-
"311120 Campo Belo";37;37;6
"311130 Campo do Meio";1;1;1
"311140 Campo Florido";-;-;-
"311150 Campos Altos";3;3;2
"311160 Campos Gerais";4;4;2
"311190 Cana Verde";-;-;-
"311170 Canaã";1;1;1
"311180 Canápolis";1;1;1
"311200 Candeias";2;2;1
"311205 Cantagalo";-;-;-
"311210 Caparaó";-;-;-
"311220 Capela Nova";-;-;-
"311230 Capelinha";3;3;1
"311240 Capetinga";-;-;-
"311250 Capim Branco";-;-;-
"311260 Capinópolis";1;1;1
"311265 Capitão Andrade";-;-;-
"311270 Capitão Enéas";-;-;-
"311280 Capitólio";1;1;1
"311290 Caputira";-;-;-
"311300 Caraí";1;1;1
"311310 Caranaíba";-;-;-
"311320 Carandaí";2;2;1
"311330 Carangola";20;20;4
"311340 Caratinga";58;46;7
"311350 Carbonita";-;-;-
"311360 Careaçu";1;1;1
"311370 Carlos Chagas";2;2;1
"311380 Carmésia";-;-;-
"311390 Carmo da Cachoeira";1;1;1
"311400 Carmo da Mata";1;1;1
"311410 Carmo de Minas";2;2;1
"311420 Carmo do Cajuru";-;-;-
"311430 Carmo do Paranaíba";5;5;2
"311440 Carmo do Rio Claro";2;2;1
"311450 Carmópolis de Minas";2;2;1
"311455 Carneirinho";-;-;-
"311460 Carrancas";-;-;-
"311470 Carvalhópolis";-;-;-
"311480 Carvalhos";-;-;-
"311490 Casa Grande";-;-;-
"311500 Cascalho Rico";-;-;-
"311510 Cássia";5;5;1
"311530 Cataguases";16;14;2
"311535 Catas Altas";-;-;-
"311540 Catas Altas da Noruega";-;-;-
"311545 Catuji";-;-;-
"311547 Catuti";-;-;-
"311550 Caxambu";2;2;1
"311560 Cedro do Abaeté";-;-;-
"311570 Central de Minas";-;-;-
"311580 Centralina";1;1;1
"311590 Chácara";-;-;-
"311600 Chalé";-;-;-
"311610 Chapada do Norte";-;-;-
"311615 Chapada Gaúcha";1;1;1
"311620 Chiador";-;-;-
"311630 Cipotânea";1;1;1
"311640 Claraval";-;-;-
"311650 Claro dos Poções";-;-;-
"311660 Cláudio";3;2;1
"311670 Coimbra";-;-;-
"311680 Coluna";1;1;1
"311690 Comendador Gomes";-;-;-
"311700 Comercinho";-;-;-
"311710 Conceição da Aparecida";-;-;-
"311520 Conceição da Barra de Minas";-;-;-
"311730 Conceição das Alagoas";2;2;2
"311720 Conceição das Pedras";-;-;-
"311740 Conceição de Ipanema";-;-;-
"311750 Conceição do Mato Dentro";-;-;-
"311760 Conceição do Pará";-;-;-
"311770 Conceição do Rio Verde";1;1;1
"311780 Conceição dos Ouros";1;1;1
"311783 Cônego Marinho";-;-;-
"311787 Confins";2;2;-
"311790 Congonhal";-;-;-
"311800 Congonhas";11;9;4
"311810 Congonhas do Norte";-;-;-
"311820 Conquista";1;1;1
"311830 Conselheiro Lafaiete";26;25;6
"311840 Conselheiro Pena";1;1;1
"311850 Consolação";-;-;-
"311860 Contagem";82;81;5
"311870 Coqueiral";-;-;-
"311880 Coração de Jesus";1;1;1
"311890 Cordisburgo";-;-;-
"311900 Cordislândia";-;-;-
"311910 Corinto";1;1;1
"311920 Coroaci";1;1;1
"311930 Coromandel";2;2;2
"311940 Coronel Fabriciano";18;18;1
"311950 Coronel Murta";-;-;-
"311960 Coronel Pacheco";-;-;-
"311970 Coronel Xavier Chaves";-;-;-
"311980 Córrego Danta";-;-;-
"311990 Córrego do Bom Jesus";-;-;-
"311995 Córrego Fundo";1;1;1
"312000 Córrego Novo";-;-;-
"312010 Couto de Magalhães de Minas";-;-;-
"312015 Crisólita";-;-;-
"312020 Cristais";3;3;1
"312030 Cristália";-;-;-
"312040 Cristiano Otoni";-;-;-
"312050 Cristina";-;-;-
"312060 Crucilândia";-;-;-
"312070 Cruzeiro da Fortaleza";-;-;-
"312080 Cruzília";1;1;1
"312083 Cuparaque";-;-;-
"312087 Curral de Dentro";-;-;-
"312090 Curvelo";46;35;3
"312100 Datas";-;-;-
"312110 Delfim Moreira";-;-;-
"312120 Delfinópolis";-;-;-
"312125 Delta";1;1;1
"312130 Descoberto";-;-;-
"312140 Desterro de Entre Rios";1;1;1
"312150 Desterro do Melo";-;-;-
"312160 Diamantina";33;33;4
"312170 Diogo de Vasconcelos";-;-;-
"312180 Dionísio";-;-;-
"312190 Divinésia";-;-;-
"312200 Divino";1;1;1
"312210 Divino das Laranjeiras";-;-;-
"312220 Divinolândia de Minas";-;-;-
"312230 Divinópolis";156;144;5
"312235 Divisa Alegre";1;-;1
"312240 Divisa Nova";-;-;-
"312245 Divisópolis";-;-;-
"312247 Dom Bosco";-;-;-
"312250 Dom Cavati";-;-;-
"312260 Dom Joaquim";-;-;-
"312270 Dom Silvério";-;-;-
"312280 Dom Viçoso";-;-;-
"312290 Dona Eusébia";-;-;-
"312300 Dores de Campos";1;-;1
"312310 Dores de Guanhães";-;-;-
"312320 Dores do Indaiá";2;2;1
"312330 Dores do Turvo";-;-;-
"312340 Doresópolis";-;-;-
"312350 Douradoquara";-;-;-
"312352 Durandé";-;-;-
"312360 Elói Mendes";2;2;1
"312370 Engenheiro Caldas";-;-;-
"312380 Engenheiro Navarro";-;-;-
"312385 Entre Folhas";-;-;-
"312390 Entre Rios de Minas";5;3;2
"312400 Ervália";2;2;1
"312410 Esmeraldas";2;2;1
"312420 Espera Feliz";2;2;1
"312430 Espinosa";1;1;1
"312440 Espírito Santo do Dourado";-;-;-
"312450 Estiva";2;2;1
"312460 Estrela Dalva";1;1;1
"312470 Estrela do Indaiá";1;1;1
"312480 Estrela do Sul";-;-;-
"312490 Eugenópolis";1;1;1
"312500 Ewbank da Câmara";-;-;-
"312510 Extrema";12;12;2
"312520 Fama";-;-;-
"312530 Faria Lemos";-;-;-
"312540 Felício dos Santos";-;-;-
"312560 Felisburgo";1;1;1
"312570 Felixlândia";-;-;-
"312580 Fernandes Tourinho";-;-;-
"312590 Ferros";-;-;-
"312595 Fervedouro";-;-;-
"312600 Florestal";1;1;1
"312610 Formiga";45;45;3
"312620 Formoso";-;-;-
"312630 Fortaleza de Minas";-;-;-
"312640 Fortuna de Minas";-;-;-
"312650 Francisco Badaró";-;-;-
"312660 Francisco Dumont";-;-;-
"312670 Francisco Sá";1;-;1
"312675 Franciscópolis";-;-;-
"312680 Frei Gaspar";-;-;-
"312690 Frei Inocêncio";-;-;-
"312695 Frei Lagonegro";-;-;-
"312700 Fronteira";-;-;-
"312705 Fronteira dos Vales";-;-;-
"312707 Fruta de Leite";-;-;-
"312710 Frutal";4;4;2
"312720 Funilândia";-;-;-
"312730 Galiléia";-;-;-
"312733 Gameleiras";-;-;-
"312735 Glaucilândia";-;-;-
"312737 Goiabeira";-;-;-
"312738 Goianá";-;-;-
"312740 Gonçalves";-;-;-
"312750 Gonzaga";-;-;-
"312760 Gouveia";-;-;-
"312770 Governador Valadares";129;94;6
"312780 Grão Mogol";-;-;-
"312790 Grupiara";-;-;-
"312800 Guanhães";-;-;-
"312810 Guapé";1;1;1
"312820 Guaraciaba";-;-;-
"312825 Guaraciama";-;-;-
"312830 Guaranésia";1;1;1
"312840 Guarani";1;1;1
"312850 Guarará";-;-;-
"312860 Guarda-Mor";-;-;-
"312870 Guaxupé";9;9;1
"312880 Guidoval";-;-;-
"312890 Guimarânia";-;-;-
"312900 Guiricema";-;-;-
"312910 Gurinhatã";1;1;1
"312920 Heliodora";-;-;-
"312930 Iapu";-;-;-
"312940 Ibertioga";2;2;1
"312950 Ibiá";-;-;-
"312960 Ibiaí";-;-;-
"312965 Ibiracatu";-;-;-
"312970 Ibiraci";2;2;2
"312980 Ibirité";4;4;2
"312990 Ibitiúra de Minas";-;-;-
"313000 Ibituruna";-;-;-
"313005 Icaraí de Minas";-;-;-
"313010 Igarapé";-;-;-
"313020 Igaratinga";-;-;-
"313030 Iguatama";-;-;-
"313040 Ijaci";1;1;1
"313050 Ilicínea";-;-;-
"313055 Imbé de Minas";-;-;-
"313060 Inconfidentes";-;-;-
"313065 Indaiabira";-;-;-
"313070 Indianópolis";-;-;-
"313080 Ingaí";-;-;-
"313090 Inhapim";1;1;1
"313100 Inhaúma";-;-;-
"313110 Inimutaba";-;-;-
"313115 Ipaba";-;-;-
"313120 Ipanema";-;-;-
"313130 Ipatinga";128;124;6
"313140 Ipiaçu";-;-;-
"313150 Ipuiúna";1;1;1
"313160 Iraí de Minas";-;-;-
"313170 Itabira";35;35;6
"313180 Itabirinha";-;-;-
"313190 Itabirito";10;9;3
"313200 Itacambira";-;-;-
"313210 Itacarambi";1;1;1
"313220 Itaguara";-;-;-
"313230 Itaipé";11;1;1
"313240 Itajubá";49;49;4
"313250 Itamarandiba";2;2;1
"313260 Itamarati de Minas";-;-;-
"313270 Itambacuri";2;2;2
"313280 Itambé do Mato Dentro";-;-;-
"313290 Itamogi";1;1;1
"313300 Itamonte";2;2;1
"313310 Itanhandu";1;1;1
"313320 Itanhomi";1;1;1
"313330 Itaobim";7;7;6
"313340 Itapagipe";1;1;1
"313350 Itapecerica";2;2;1
"313360 Itapeva";1;1;1
"313370 Itatiaiuçu";-;-;-
"313375 Itaú de Minas";2;2;1
"313380 Itaúna";21;21;2
"313390 Itaverava";-;-;-
"313400 Itinga";-;-;-
"313410 Itueta";-;-;-
"313420 Ituiutaba";11;11;1
"313430 Itumirim";-;-;-
"313440 Iturama";2;2;1
"313450 Itutinga";-;-;-
"313460 Jaboticatubas";1;1;1
"313470 Jacinto";1;1;1
"313480 Jacuí";1;-;-
"313490 Jacutinga";2;2;1
"313500 Jaguaraçu";-;-;-
"313505 Jaíba";-;-;-
"313507 Jampruca";-;-;-
"313510 Janaúba";25;25;4
"313520 Januária";11;8;4
"313530 Japaraíba";-;-;-
"313535 Japonvar";-;-;-
"313540 Jeceaba";-;-;-
"313545 Jenipapo de Minas";-;-;-
"313550 Jequeri";-;-;-
"313560 Jequitaí";-;-;-
"313570 Jequitibá";-;-;-
"313580 Jequitinhonha";1;1;1
"313590 Jesuânia";-;-;-
"313600 Joaíma";1;1;1
"313610 Joanésia";-;-;-
"313620 João Monlevade";13;13;1
"313630 João Pinheiro";5;5;1
"313640 Joaquim Felício";-;-;-
"313650 Jordânia";1;1;1
"313652 José Gonçalves de Minas";-;-;-
"313655 José Raydan";-;-;-
"313657 Josenópolis";-;-;-
"313665 Juatuba";-;-;-
"313670 Juiz de Fora";386;351;21
"313680 Juramento";-;-;-
"313690 Juruaia";1;1;1
"313695 Juvenília";-;-;-
"313700 Ladainha";-;-;-
"313710 Lagamar";-;-;-
"313720 Lagoa da Prata";30;19;3
"313730 Lagoa dos Patos";-;-;-
"313740 Lagoa Dourada";-;-;-
"313750 Lagoa Formosa";1;1;1
"313753 Lagoa Grande";-;-;-
"313760 Lagoa Santa";6;6;3
"313770 Lajinha";2;2;1
"313780 Lambari";1;1;-
"313790 Lamim";-;-;-
"313800 Laranjal";1;-;1
"313810 Lassance";-;-;-
"313820 Lavras";51;48;6
"313830 Leandro Ferreira";-;-;-
"313835 Leme do Prado";-;-;-
"313840 Leopoldina";9;9;2
"313850 Liberdade";1;1;1
"313860 Lima Duarte";4;3;2
"313862 Limeira do Oeste";-;-;-
"313865 Lontra";-;-;-
"313867 Luisburgo";-;-;-
"313868 Luislândia";-;-;-
"313870 Luminárias";-;-;-
"313880 Luz";6;4;2
"313890 Machacalis";1;1;1
"313900 Machado";2;2;1
"313910 Madre de Deus de Minas";-;-;-
"313920 Malacacheta";3;3;1
"313925 Mamonas";-;-;-
"313930 Manga";1;1;1
"313940 Manhuaçu";27;24;2
"313950 Manhumirim";10;8;1
"313960 Mantena";3;3;2
"313980 Mar de Espanha";2;2;1
"313970 Maravilhas";-;-;-
"313990 Maria da Fé";1;1;1
"314000 Mariana";3;3;1
"314010 Marilac";-;-;-
"314015 Mário Campos";-;-;-
"314020 Maripá de Minas";-;-;-
"314030 Marliéria";-;-;-
"314040 Marmelópolis";-;-;-
"314050 Martinho Campos";2;2;1
"314053 Martins Soares";-;-;-
"314055 Mata Verde";-;-;-
"314060 Materlândia";-;-;-
"314070 Mateus Leme";2;2;2
"317150 Mathias Lobato";-;-;-
"314080 Matias Barbosa";3;3;1
"314085 Matias Cardoso";-;-;-
"314090 Matipó";3;3;2
"314100 Mato Verde";1;1;1
"314110 Matozinhos";5;2;1
"314120 Matutina";-;-;-
"314130 Medeiros";-;-;-
"314140 Medina";1;1;1
"314150 Mendes Pimentel";-;-;-
"314160 Mercês";-;-;-
"314170 Mesquita";-;-;-
"314180 Minas Novas";2;2;2
"314190 Minduri";1;1;1
"314200 Mirabela";1;1;1
"314210 Miradouro";-;-;-
"314220 Miraí";-;-;-
"314225 Miravânia";-;-;-
"314230 Moeda";1;1;1
"314240 Moema";2;2;1
"314250 Monjolos";-;-;-
"314260 Monsenhor Paulo";1;1;1
"314270 Montalvânia";-;-;-
"314280 Monte Alegre de Minas";1;1;1
"314290 Monte Azul";-;-;-
"314300 Monte Belo";-;-;-
"314310 Monte Carmelo";7;4;2
"314315 Monte Formoso";-;-;-
"314320 Monte Santo de Minas";3;3;2
"314340 Monte Sião";1;1;1
"314330 Montes Claros";202;198;11
"314345 Montezuma";-;-;-
"314350 Morada Nova de Minas";1;1;1
"314360 Morro da Garça";-;-;-
"314370 Morro do Pilar";-;-;-
"314380 Munhoz";-;-;-
"314390 Muriaé";64;64;5
"314400 Mutum";1;1;1
"314410 Muzambinho";3;2;1
"314420 Nacip Raydan";-;-;-
"314430 Nanuque";12;12;2
"314435 Naque";-;-;-
"314437 Natalândia";-;-;-
"314440 Natércia";1;1;1
"314450 Nazareno";2;2;1
"314460 Nepomuceno";2;2;2
"314465 Ninheira";-;-;-
"314467 Nova Belém";-;-;-
"314470 Nova Era";2;2;1
"314480 Nova Lima";44;43;2
"314490 Nova Módica";-;-;-
"314500 Nova Ponte";1;1;1
"314505 Nova Porteirinha";-;-;-
"314510 Nova Resende";-;-;-
"314520 Nova Serrana";12;6;3
"313660 Nova União";-;-;-
"314530 Novo Cruzeiro";1;1;1
"314535 Novo Oriente de Minas";-;-;-
"314537 Novorizonte";-;-;-
"314540 Olaria";-;-;-
"314545 Olhos-d'Água";-;-;-
"314550 Olímpio Noronha";-;-;-
"314560 Oliveira";19;19;2
"314570 Oliveira Fortes";-;-;-
"314580 Onça de Pitangui";-;-;-
"314585 Oratórios";-;-;-
"314587 Orizânia";-;-;-
"314590 Ouro Branco";4;4;-
"314600 Ouro Fino";5;5;2
"314610 Ouro Preto";13;13;3
"314620 Ouro Verde de Minas";-;-;-
"314625 Padre Carvalho";-;-;-
"314630 Padre Paraíso";1;1;1
"314655 Pai Pedro";-;-;-
"314640 Paineiras";-;-;-
"314650 Pains";1;1;1
"314660 Paiva";-;-;-
"314670 Palma";1;-;1
"314675 Palmópolis";-;-;-
"314690 Papagaios";-;-;-
"314710 Pará de Minas";32;26;4
"314700 Paracatu";13;13;2
"314720 Paraguaçu";1;1;1
"314730 Paraisópolis";4;4;1
"314740 Paraopeba";-;-;-
"314760 Passa Quatro";1;1;1
"314770 Passa Tempo";-;-;-
"314780 Passa-Vinte";-;-;-
"314750 Passabém";-;-;-
"314790 Passos";78;78;2
"314795 Patis";-;-;-
"314800 Patos de Minas";90;90;8
"314810 Patrocínio";38;36;3
"314820 Patrocínio do Muriaé";-;-;-
"314830 Paula Cândido";-;-;-
"314840 Paulistas";-;-;-
"314850 Pavão";-;-;-
"314860 Peçanha";1;1;1
"314870 Pedra Azul";2;-;1
"314875 Pedra Bonita";-;-;-
"314880 Pedra do Anta";-;-;-
"314890 Pedra do Indaiá";-;-;-
"314900 Pedra Dourada";-;-;-
"314910 Pedralva";1;1;1
"314915 Pedras de Maria da Cruz";-;-;-
"314920 Pedrinópolis";-;-;-
"314930 Pedro Leopoldo";4;4;2
"314940 Pedro Teixeira";-;-;-
"314950 Pequeri";-;-;-
"314960 Pequi";-;-;-
"314970 Perdigão";-;-;-
"314980 Perdizes";1;1;1
"314990 Perdões";2;1;1
"314995 Periquito";-;-;-
"315000 Pescador";-;-;-
"315010 Piau";-;-;-
"315015 Piedade de Caratinga";-;-;-
"315020 Piedade de Ponte Nova";-;-;-
"315030 Piedade do Rio Grande";1;1;1
"315040 Piedade dos Gerais";-;-;-
"315050 Pimenta";1;1;1
"315053 Pingo-d'Água";-;-;-
"315057 Pintópolis";-;-;-
"315060 Piracema";1;1;1
"315070 Pirajuba";-;-;-
"315080 Piranga";-;-;-
"315090 Piranguçu";1;1;-
"315100 Piranguinho";-;-;-
"315110 Pirapetinga";3;3;1
"315120 Pirapora";10;10;2
"315130 Piraúba";-;-;-
"315140 Pitangui";2;2;1
"315150 Piumhi";2;2;1
"315160 Planura";-;-;-
"315170 Poço Fundo";2;2;1
"315180 Poços de Caldas";116;114;4
"315190 Pocrane";-;-;-
"315200 Pompéu";3;3;1
"315210 Ponte Nova";48;44;2
"315213 Ponto Chique";-;-;-
"315217 Ponto dos Volantes";-;-;-
"315220 Porteirinha";-;-;-
"315230 Porto Firme";-;-;-
"315240 Poté";1;1;1
"315250 Pouso Alegre";41;38;3
"315260 Pouso Alto";-;-;-
"315270 Prados";1;1;1
"315280 Prata";2;1;2
"315290 Pratápolis";1;1;1
"315300 Pratinha";-;-;-
"315310 Presidente Bernardes";2;2;1
"315320 Presidente Juscelino";-;-;-
"315330 Presidente Kubitschek";-;-;-
"315340 Presidente Olegário";1;-;1
"315360 Prudente de Morais";-;-;-
"315370 Quartel Geral";-;-;-
"315380 Queluzito";-;-;-
"315390 Raposos";-;-;-
"315400 Raul Soares";1;1;1
"315410 Recreio";1;1;1
"315415 Reduto";-;-;-
"315420 Resende Costa";1;1;1
"315430 Resplendor";2;2;1
"315440 Ressaquinha";-;-;-
"315445 Riachinho";-;-;-
"315450 Riacho dos Machados";-;-;-
"315460 Ribeirão das Neves";9;9;2
"315470 Ribeirão Vermelho";-;-;-
"315480 Rio Acima";1;-;1
"315490 Rio Casca";-;-;-
"315510 Rio do Prado";-;-;-
"315500 Rio Doce";-;-;-
"315520 Rio Espera";1;1;1
"315530 Rio Manso";-;-;-
"315540 Rio Novo";-;-;-
"315550 Rio Paranaíba";2;2;1
"315560 Rio Pardo de Minas";-;-;-
"315570 Rio Piracicaba";2;2;1
"315580 Rio Pomba";3;3;1
"315590 Rio Preto";1;1;1
"315600 Rio Vermelho";-;-;-
"315610 Ritápolis";-;-;-
"315620 Rochedo de Minas";-;-;-
"315630 Rodeiro";-;-;-
"315640 Romaria";-;-;-
"315645 Rosário da Limeira";-;-;-
"315650 Rubelita";-;-;-
"315660 Rubim";-;-;-
"315670 Sabará";8;8;2
"315680 Sabinópolis";-;-;-
"315690 Sacramento";2;1;1
"315700 Salinas";10;9;2
"315710 Salto da Divisa";-;-;-
"315720 Santa Bárbara";4;4;2
"315725 Santa Bárbara do Leste";-;-;-
"315727 Santa Bárbara do Monte Verde";-;-;-
"315730 Santa Bárbara do Tugúrio";-;-;-
"315733 Santa Cruz de Minas";-;-;-
"315737 Santa Cruz de Salinas";-;-;-
"315740 Santa Cruz do Escalvado";-;-;-
"315750 Santa Efigênia de Minas";-;-;-
"315760 Santa Fé de Minas";-;-;-
"315765 Santa Helena de Minas";-;-;-
"315770 Santa Juliana";-;-;-
"315780 Santa Luzia";14;14;4
"315790 Santa Margarida";1;1;1
"315800 Santa Maria de Itabira";-;-;-
"315810 Santa Maria do Salto";-;-;-
"315820 Santa Maria do Suaçuí";-;-;-
"315920 Santa Rita de Caldas";1;1;1
"315940 Santa Rita de Ibitipoca";-;-;-
"315930 Santa Rita de Jacutinga";1;1;1
"315935 Santa Rita de Minas";-;-;-
"315950 Santa Rita do Itueto";-;-;-
"315960 Santa Rita do Sapucaí";4;3;1
"315970 Santa Rosa da Serra";-;-;-
"315980 Santa Vitória";3;3;2
"315830 Santana da Vargem";-;-;-
"315840 Santana de Cataguases";-;-;-
"315850 Santana de Pirapama";-;-;-
"315860 Santana do Deserto";-;-;-
"315870 Santana do Garambéu";-;-;-
"315880 Santana do Jacaré";-;-;-
"315890 Santana do Manhuaçu";-;-;-
"315895 Santana do Paraíso";-;-;-
"315900 Santana do Riacho";-;-;-
"315910 Santana dos Montes";-;-;-
"315990 Santo Antônio do Amparo";21;15;2
"316000 Santo Antônio do Aventureiro";1;1;1
"316010 Santo Antônio do Grama";-;-;-
"316020 Santo Antônio do Itambé";-;-;-
"316030 Santo Antônio do Jacinto";-;-;-
"316040 Santo Antônio do Monte";6;6;2
"316045 Santo Antônio do Retiro";1;1;1
"316050 Santo Antônio do Rio Abaixo";-;-;-
"316060 Santo Hipólito";-;-;-
"316070 Santos Dumont";5;4;2
"316080 São Bento Abade";-;-;-
"316090 São Brás do Suaçuí";-;-;-
"316095 São Domingos das Dores";-;-;-
"316100 São Domingos do Prata";1;1;1
"316105 São Félix de Minas";-;-;-
"316110 São Francisco";-;-;-
"316120 São Francisco de Paula";-;-;-
"316130 São Francisco de Sales";-;-;-
"316140 São Francisco do Glória";-;-;-
"316150 São Geraldo";-;-;-
"316160 São Geraldo da Piedade";-;-;-
"316165 São Geraldo do Baixio";-;-;-
"316170 São Gonçalo do Abaeté";-;-;-
"316180 São Gonçalo do Pará";-;-;-
"316190 São Gonçalo do Rio Abaixo";1;1;1
"312550 São Gonçalo do Rio Preto";-;-;-
"316200 São Gonçalo do Sapucaí";2;2;1
"316210 São Gotardo";4;4;2
"316220 São João Batista do Glória";1;1;1
"316225 São João da Lagoa";-;-;-
"316230 São João da Mata";-;-;-
"316240 São João da Ponte";-;-;-
"316245 São João das Missões";-;-;-
"316250 São João del Rei";36;36;4
"316255 São João do Manhuaçu";-;-;-
"316257 São João do Manteninha";-;-;-
"316260 São João do Oriente";-;-;-
"316265 São João do Pacuí";-;-;-
"316270 São João do Paraíso";-;-;-
"316280 São João Evangelista";7;7;1
"316290 São João Nepomuceno";8;1;1
"316292 São Joaquim de Bicas";4;4;2
"316294 São José da Barra";-;-;-
"316295 São José da Lapa";-;-;-
"316300 São José da Safira";-;-;-
"316310 São José da Varginha";-;-;-
"316320 São José do Alegre";-;-;-
"316330 São José do Divino";-;-;-
"316340 São José do Goiabal";-;-;-
"316350 São José do Jacuri";-;-;-
"316360 São José do Mantimento";-;-;-
"316370 São Lourenço";37;37;2
"316380 São Miguel do Anta";-;-;-
"316390 São Pedro da União";1;1;1
"316410 São Pedro do Suaçuí";-;-;-
"316400 São Pedro dos Ferros";-;-;-
"316420 São Romão";1;1;1
"316430 São Roque de Minas";1;1;1
"316440 São Sebastião da Bela Vista";-;-;-
"316443 São Sebastião da Vargem Alegre";-;-;-
"316447 São Sebastião do Anta";-;-;-
"316450 São Sebastião do Maranhão";-;-;-
"316460 São Sebastião do Oeste";-;-;-
"316470 São Sebastião do Paraíso";27;27;2
"316480 São Sebastião do Rio Preto";-;-;-
"316490 São Sebastião do Rio Verde";-;-;-
"316520 São Thomé das Letras";-;-;-
"316500 São Tiago";1;1;1
"316510 São Tomás de Aquino";1;1;1
"316530 São Vicente de Minas";2;2;1
"316540 Sapucaí-Mirim";-;-;-
"316550 Sardoá";-;-;-
"316553 Sarzedo";-;-;-
"316556 Sem-Peixe";-;-;-
"316557 Senador Amaral";-;-;-
"316560 Senador Cortes";1;1;1
"316570 Senador Firmino";-;-;-
"316580 Senador José Bento";-;-;-
"316590 Senador Modestino Gonçalves";-;-;-
"316600 Senhora de Oliveira";-;-;-
"316610 Senhora do Porto";-;-;-
"316620 Senhora dos Remédios";-;-;-
"316630 Sericita";-;-;-
"316640 Seritinga";-;-;-
"316650 Serra Azul de Minas";-;-;-
"316660 Serra da Saudade";-;-;-
"316680 Serra do Salitre";1;1;1
"316670 Serra dos Aimorés";-;-;-
"316690 Serrania";-;-;-
"316695 Serranópolis de Minas";-;-;-
"316700 Serranos";-;-;-
"316710 Serro";-;-;-
"316720 Sete Lagoas";79;76;7
"316555 Setubinha";-;-;-
"316730 Silveirânia";-;-;-
"316740 Silvianópolis";-;-;-
"316750 Simão Pereira";1;1;1
"316760 Simonésia";-;-;-
"316770 Sobrália";-;-;-
"316780 Soledade de Minas";-;-;-
"316790 Tabuleiro";-;-;-
"316800 Taiobeiras";11;11;2
"316805 Taparuba";-;-;-
"316810 Tapira";1;1;1
"316820 Tapiraí";-;-;-
"316830 Taquaraçu de Minas";-;-;-
"316840 Tarumirim";-;-;-
"316850 Teixeiras";-;-;-
"316860 Teófilo Otoni";73;73;5
"316870 Timóteo";29;29;4
"316880 Tiradentes";-;-;-
"316890 Tiros";-;-;-
"316900 Tocantins";-;-;-
"316905 Tocos do Moji";-;-;-
"316910 Toledo";-;-;-
"316920 Tombos";5;4;2
"316930 Três Corações";30;24;4
"316935 Três Marias";6;4;1
"316940 Três Pontas";15;15;1
"316950 Tumiritinga";-;-;-
"316960 Tupaciguara";-;-;-
"316970 Turmalina";-;-;-
"316980 Turvolândia";-;-;-
"316990 Ubá";35;35;5
"317000 Ubaí";-;-;-
"317005 Ubaporanga";-;-;-
"317010 Uberaba";218;207;9
"317020 Uberlândia";382;378;18
"317030 Umburatiba";-;-;-
"317040 Unaí";8;8;2
"317043 União de Minas";7;7;1
"317047 Uruana de Minas";-;-;-
"317050 Urucânia";-;-;-
"317052 Urucuia";4;4;1
"317057 Vargem Alegre";-;-;-
"317060 Vargem Bonita";-;-;-
"317065 Vargem Grande do Rio Pardo";-;-;-
"317070 Varginha";66;64;7
"317075 Varjão de Minas";-;-;-
"317080 Várzea da Palma";2;2;1
"317090 Varzelândia";-;-;-
"317100 Vazante";-;-;-
"317103 Verdelândia";-;-;-
"317107 Veredinha";-;-;-
"317110 Veríssimo";-;-;-
"317115 Vermelho Novo";-;-;-
"317120 Vespasiano";6;6;2
"317130 Viçosa";25;25;2
"317140 Vieiras";-;-;-
"317160 Virgem da Lapa";-;-;-
"317170 Virgínia";1;1;1
"317180 Virginópolis";-;-;-
"317190 Virgolândia";-;-;-
"317200 Visconde do Rio Branco";10;10;1
"317210 Volta Grande";-;-;-
"317220 Wenceslau Braz";-;-;-
"310000 Município ignorado - MG";-;-;-
"320010 Afonso Cláudio";1;1;1
"320016 Água Doce do Norte";-;-;-
"320013 Águia Branca";-;-;-
"320020 Alegre";2;1;1
"320030 Alfredo Chaves";1;1;1
"320035 Alto Rio Novo";-;-;-
"320040 Anchieta";4;4;2
"320050 Apiacá";1;1;1
"320060 Aracruz";8;7;2
"320070 Atilio Vivacqua";-;-;-
"320080 Baixo Guandu";8;8;1
"320090 Barra de São Francisco";13;13;1
"320100 Boa Esperança";1;1;1
"320110 Bom Jesus do Norte";2;2;1
"320115 Brejetuba";-;-;-
