"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"251080 Patos";-;-;-;7
"251090 Paulista";-;4;4;4
"251100 Pedra Branca";-;-;-;-
"251110 Pedra Lavrada";-;-;-;-
"251120 Pedras de Fogo";-;-;-;-
"251272 Pedro Régis";-;-;-;1
"251130 Piancó";1;-;-;9
"251140 Picuí";-;-;-;12
"251150 Pilar";-;1;1;-
"251160 Pilões";-;-;-;-
"251170 Pilõezinhos";-;-;-;-
"251180 Pirpirituba";-;-;-;-
"251190 Pitimbu";-;2;2;-
"251200 Pocinhos";-;3;3;10
"251203 Poço Dantas";2;2;2;4
"251207 Poço de José de Moura";-;-;-;3
"251210 Pombal";2;4;3;2
"251220 Prata";-;-;-;-
"251230 Princesa Isabel";-;-;-;8
"251240 Puxinanã";-;-;-;-
"251250 Queimadas";-;7;6;21
"251260 Quixabá";-;-;-;-
"251270 Remígio";-;-;-;-
"251274 Riachão";-;-;-;-
"251275 Riachão do Bacamarte";2;-;-;2
"251276 Riachão do Poço";-;-;-;1
"251278 Riacho de Santo Antônio";-;-;-;1
"251280 Riacho dos Cavalos";-;-;-;-
"251290 Rio Tinto";-;-;-;2
"251300 Salgadinho";-;-;-;-
"251310 Salgado de São Félix";-;-;-;10
"251315 Santa Cecília";-;-;-;3
"251320 Santa Cruz";5;6;4;-
"251330 Santa Helena";-;-;-;-
"251335 Santa Inês";1;1;1;-
"251340 Santa Luzia";1;-;-;-
"251370 Santa Rita";5;5;3;8
"251380 Santa Teresinha";-;-;-;-
"251350 Santana de Mangueira";-;1;1;-
"251360 Santana dos Garrotes";-;6;6;-
"251385 Santo André";-;3;3;2
"251392 São Bentinho";-;3;3;3
"251390 São Bento";-;-;-;-
"251396 São Domingos";-;2;2;1
"251394 São Domingos do Cariri";-;-;-;2
"251398 São Francisco";-;-;-;3
"251400 São João do Cariri";-;-;-;-
"250070 São João do Rio do Peixe";3;5;5;3
"251410 São João do Tigre";1;-;-;6
"251420 São José da Lagoa Tapada";-;-;-;-
"251430 São José de Caiana";-;-;-;-
"251440 São José de Espinharas";-;-;-;-
"251450 São José de Piranhas";2;4;3;1
"251455 São José de Princesa";1;1;1;-
"251460 São José do Bonfim";6;6;6;-
"251465 São José do Brejo do Cruz";-;-;-;-
"251470 São José do Sabugi";-;-;-;-
"251480 São José dos Cordeiros";-;-;-;-
"251445 São José dos Ramos";4;2;2;1
"251490 São Mamede";-;-;-;-
"251500 São Miguel de Taipu";-;-;-;-
"251510 São Sebastião de Lagoa de Roça";-;6;6;2
"251520 São Sebastião do Umbuzeiro";-;8;11;-
"251540 São Vicente do Seridó";-;-;-;3
"251530 Sapé";-;-;-;1
"251550 Serra Branca";-;-;-;-
"251560 Serra da Raiz";-;-;-;-
"251570 Serra Grande";4;4;4;-
"251580 Serra Redonda";-;-;-;2
"251590 Serraria";2;3;3;-
"251593 Sertãozinho";-;2;1;-
"251597 Sobrado";-;-;-;1
"251600 Solânea";-;-;-;1
"251610 Soledade";-;4;4;-
"251615 Sossêgo";-;-;-;6
"251620 Sousa";8;2;4;14
"251630 Sumé";-;-;-;4
"251640 Tacima";-;-;-;5
"251650 Taperoá";-;-;-;-
"251660 Tavares";-;-;-;-
"251670 Teixeira";5;8;8;2
"251675 Tenório";-;-;-;3
"251680 Triunfo";-;-;-;-
"251690 Uiraúna";-;-;-;4
"251700 Umbuzeiro";-;-;-;5
"251710 Várzea";-;-;-;1
"251720 Vieirópolis";-;1;3;3
"250550 Vista Serrana";-;-;-;2
"251740 Zabelê";2;3;2;-
"250000 Município ignorado - PB";-;-;-;-
"260005 Abreu e Lima";7;5;20;-
"260010 Afogados da Ingazeira";1;2;2;6
"260020 Afrânio";5;6;4;1
"260030 Agrestina";-;2;-;-
"260040 Água Preta";-;-;-;3
"260050 Águas Belas";-;-;-;1
"260060 Alagoinha";-;-;-;-
"260070 Aliança";-;-;-;-
"260080 Altinho";-;-;-;-
"260090 Amaraji";-;-;-;-
"260100 Angelim";-;-;-;1
"260105 Araçoiaba";-;-;-;-
"260110 Araripina";2;3;3;5
"260120 Arcoverde";1;4;7;7
"260130 Barra de Guabiraba";-;-;-;-
"260140 Barreiros";-;3;2;5
"260150 Belém de Maria";-;-;-;-
"260160 Belém do São Francisco";-;-;-;-
"260170 Belo Jardim";3;-;-;4
"260180 Betânia";-;-;-;-
"260190 Bezerros";-;-;-;1
"260200 Bodocó";-;-;-;4
"260210 Bom Conselho";-;-;-;-
"260220 Bom Jardim";-;-;-;1
"260230 Bonito";-;-;-;-
"260240 Brejão";-;-;-;-
"260250 Brejinho";-;-;-;-
"260260 Brejo da Madre de Deus";3;3;3;-
"260270 Buenos Aires";1;-;-;4
"260280 Buíque";-;2;-;-
"260290 Cabo de Santo Agostinho";-;-;-;13
"260300 Cabrobó";-;-;-;2
"260310 Cachoeirinha";-;-;-;-
"260320 Caetés";-;-;-;-
"260330 Calçado";-;-;-;-
"260340 Calumbi";-;-;-;-
"260345 Camaragibe";-;-;68;7
"260350 Camocim de São Félix";-;-;-;2
"260360 Camutanga";2;6;5;1
"260370 Canhotinho";-;-;-;-
"260380 Capoeiras";-;-;-;-
"260390 Carnaíba";-;-;-;2
"260392 Carnaubeira da Penha";-;-;-;-
"260400 Carpina";7;-;-;4
"260410 Caruaru";1;10;86;86
"260415 Casinhas";-;-;-;-
"260420 Catende";-;-;-;3
"260430 Cedro";-;-;-;-
"260440 Chã de Alegria";-;-;-;-
"260450 Chã Grande";-;-;-;2
"260460 Condado";-;-;-;2
"260470 Correntes";-;-;-;-
"260480 Cortês";-;-;-;1
"260490 Cumaru";-;-;-;1
"260500 Cupira";-;-;-;1
"260510 Custódia";-;-;-;1
"260515 Dormentes";-;-;-;1
"260520 Escada";3;3;3;-
"260530 Exu";1;3;2;-
"260540 Feira Nova";-;-;-;-
"260545 Fernando de Noronha";-;-;-;-
"260550 Ferreiros";-;-;-;5
"260560 Flores";-;2;1;-
"260570 Floresta";-;-;-;2
"260580 Frei Miguelinho";-;-;-;-
"260590 Gameleira";-;-;-;2
"260600 Garanhuns";1;-;-;3
"260610 Glória do Goitá";-;-;-;-
"260620 Goiana";-;1;1;3
"260630 Granito";-;-;-;-
"260640 Gravatá";-;-;-;7
"260650 Iati";-;3;-;-
"260660 Ibimirim";-;-;-;2
"260670 Ibirajuba";-;-;-;-
"260680 Igarassu";-;2;44;22
"260690 Iguaracy";-;-;-;2
"260760 Ilha de Itamaracá";-;-;-;2
"260700 Inajá";-;-;-;4
"260710 Ingazeira";-;-;-;2
"260720 Ipojuca";-;9;11;16
"260730 Ipubi";-;-;-;5
"260740 Itacuruba";-;-;-;1
"260750 Itaíba";-;-;-;-
"260765 Itambé";-;-;-;-
"260770 Itapetim";-;-;-;-
"260775 Itapissuma";-;-;-;-
"260780 Itaquitinga";-;-;2;-
"260790 Jaboatão dos Guararapes";14;11;12;21
"260795 Jaqueira";2;2;2;-
"260800 Jataúba";-;-;-;-
"260805 Jatobá";-;-;-;4
"260810 João Alfredo";-;-;-;-
"260820 Joaquim Nabuco";2;4;4;-
"260825 Jucati";-;-;-;2
"260830 Jupi";-;-;-;-
"260840 Jurema";-;-;-;-
"260850 Lagoa de Itaenga";-;-;-;3
"260845 Lagoa do Carro";-;1;1;-
"260860 Lagoa do Ouro";-;-;-;-
"260870 Lagoa dos Gatos";-;-;-;-
"260875 Lagoa Grande";-;-;-;1
"260880 Lajedo";-;-;-;1
"260890 Limoeiro";-;2;2;2
"260900 Macaparana";-;-;-;-
"260910 Machados";-;-;-;-
"260915 Manari";-;-;-;2
"260920 Maraial";-;-;-;-
"260930 Mirandiba";-;-;-;-
"261430 Moreilândia";4;5;5;-
"260940 Moreno";-;-;-;-
"260950 Nazaré da Mata";-;-;-;2
"260960 Olinda";-;4;2;12
"260970 Orobó";2;1;1;-
"260980 Orocó";-;-;-;-
"260990 Ouricuri";-;4;6;5
"261000 Palmares";-;-;4;2
"261010 Palmeirina";-;-;-;3
"261020 Panelas";2;-;-;-
"261030 Paranatama";-;-;-;1
"261040 Parnamirim";-;-;-;4
"261050 Passira";-;-;-;-
"261060 Paudalho";-;1;-;8
"261070 Paulista";-;7;6;1
"261080 Pedra";-;-;-;2
"261090 Pesqueira";-;1;7;7
"261100 Petrolândia";-;-;-;3
"261110 Petrolina";13;-;8;79
"261120 Poção";1;-;-;1
"261130 Pombos";-;-;-;-
"261140 Primavera";-;-;-;-
"261150 Quipapá";-;1;-;2
"261153 Quixaba";4;4;3;-
"261160 Recife";7;29;54;259
"261170 Riacho das Almas";-;-;-;3
"261180 Ribeirão";-;-;-;-
"261190 Rio Formoso";5;-;-;-
"261200 Sairé";-;-;-;-
"261210 Salgadinho";-;-;-;-
"261220 Salgueiro";-;-;-;3
"261230 Saloá";-;-;-;1
"261240 Sanharó";-;-;-;4
"261245 Santa Cruz";-;-;-;3
"261247 Santa Cruz da Baixa Verde";3;3;3;-
"261250 Santa Cruz do Capibaribe";-;-;-;-
"261255 Santa Filomena";-;-;-;1
"261260 Santa Maria da Boa Vista";-;-;-;1
"261270 Santa Maria do Cambucá";-;-;-;-
"261280 Santa Terezinha";-;-;-;1
"261290 São Benedito do Sul";5;6;3;1
"261300 São Bento do Una";-;-;-;2
"261310 São Caitano";-;-;-;-
"261320 São João";-;-;-;-
"261330 São Joaquim do Monte";1;-;-;7
"261340 São José da Coroa Grande";-;-;-;-
"261350 São José do Belmonte";-;-;-;2
"261360 São José do Egito";-;-;-;4
"261370 São Lourenço da Mata";-;1;1;1
"261380 São Vicente Ferrer";-;-;3;-
"261390 Serra Talhada";1;4;4;12
"261400 Serrita";-;-;-;1
"261410 Sertânia";3;2;-;-
"261420 Sirinhaém";-;-;-;-
"261440 Solidão";-;-;-;-
"261450 Surubim";8;1;2;3
"261460 Tabira";5;-;-;3
"261470 Tacaimbó";-;-;-;-
"261480 Tacaratu";6;6;6;-
"261485 Tamandaré";-;-;-;-
"261500 Taquaritinga do Norte";-;-;-;3
"261510 Terezinha";-;-;-;2
"261520 Terra Nova";-;-;-;-
"261530 Timbaúba";5;-;-;6
"261540 Toritama";-;-;-;3
"261550 Tracunhaém";-;-;-;-
"261560 Trindade";-;2;4;-
"261570 Triunfo";-;3;-;1
"261580 Tupanatinga";-;-;-;-
"261590 Tuparetama";-;-;-;2
"261600 Venturosa";-;-;-;-
"261610 Verdejante";-;-;-;2
"261618 Vertente do Lério";-;-;-;-
"261620 Vertentes";-;-;-;-
"261630 Vicência";-;-;-;2
"261640 Vitória de Santo Antão";-;4;4;14
"261650 Xexéu";-;-;-;-
"260000 Município ignorado - PE";-;-;-;-
"270010 Água Branca";-;-;-;-
"270020 Anadia";-;-;-;5
"270030 Arapiraca";12;4;24;33
"270040 Atalaia";-;2;2;-
"270050 Barra de Santo Antônio";-;-;-;2
"270060 Barra de São Miguel";-;-;-;3
"270070 Batalha";-;-;-;2
"270080 Belém";-;-;-;-
"270090 Belo Monte";2;-;-;-
"270100 Boca da Mata";-;-;-;-
"270110 Branquinha";-;-;-;-
"270120 Cacimbinhas";-;-;-;1
"270130 Cajueiro";-;-;-;-
"270135 Campestre";-;-;-;-
"270140 Campo Alegre";-;-;-;16
"270150 Campo Grande";-;-;-;2
"270160 Canapi";-;-;-;1
"270170 Capela";-;-;-;6
"270180 Carneiros";-;-;-;-
"270190 Chã Preta";-;-;-;-
"270200 Coité do Nóia";-;-;-;-
"270210 Colônia Leopoldina";7;-;-;9
"270220 Coqueiro Seco";-;-;-;6
"270230 Coruripe";-;-;-;9
"270235 Craíbas";-;-;-;3
"270240 Delmiro Gouveia";-;-;-;2
"270250 Dois Riachos";-;-;-;-
"270255 Estrela de Alagoas";-;-;-;4
"270260 Feira Grande";-;-;-;1
"270270 Feliz Deserto";-;-;-;-
"270280 Flexeiras";-;-;-;-
"270290 Girau do Ponciano";-;-;-;2
"270300 Ibateguara";-;-;-;-
"270310 Igaci";-;-;-;-
"270320 Igreja Nova";-;-;-;5
"270330 Inhapi";-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-
"270350 Jacuípe";-;-;-;3
"270360 Japaratinga";-;-;-;2
"270370 Jaramataia";-;-;-;-
"270375 Jequiá da Praia";-;-;-;7
"270380 Joaquim Gomes";-;-;-;-
"270390 Jundiá";-;-;-;6
"270400 Junqueiro";-;1;1;-
"270410 Lagoa da Canoa";-;-;-;3
"270420 Limoeiro de Anadia";-;-;-;1
"270430 Maceió";14;13;21;157
"270440 Major Isidoro";-;-;-;3
"270490 Mar Vermelho";-;-;-;7
"270450 Maragogi";2;-;-;13
"270460 Maravilha";1;-;-;1
"270470 Marechal Deodoro";-;-;-;4
"270480 Maribondo";-;-;-;-
"270500 Mata Grande";-;-;-;4
"270510 Matriz de Camaragibe";-;-;-;4
"270520 Messias";-;1;1;-
"270530 Minador do Negrão";-;-;-;5
"270540 Monteirópolis";-;-;-;-
"270550 Murici";-;-;-;8
"270560 Novo Lino";-;-;-;-
"270570 Olho d'Água das Flores";-;-;-;9
"270580 Olho d'Água do Casado";-;-;-;2
"270590 Olho d'Água Grande";-;-;-;2
"270600 Olivença";-;-;-;3
"270610 Ouro Branco";-;-;-;-
"270620 Palestina";-;-;-;-
"270630 Palmeira dos Índios";-;-;-;14
"270640 Pão de Açúcar";-;-;-;2
"270642 Pariconha";-;-;-;5
"270644 Paripueira";-;-;16;1
"270650 Passo de Camaragibe";3;2;2;2
"270660 Paulo Jacinto";-;-;-;-
"270670 Penedo";-;-;-;7
"270680 Piaçabuçu";6;6;5;9
"270690 Pilar";-;-;-;3
"270700 Pindoba";-;-;-;-
"270710 Piranhas";-;-;-;-
"270720 Poço das Trincheiras";-;3;4;2
"270730 Porto Calvo";-;-;-;2
"270740 Porto de Pedras";-;-;-;1
"270750 Porto Real do Colégio";-;-;-;-
"270760 Quebrangulo";-;-;-;1
"270770 Rio Largo";1;-;-;4
"270780 Roteiro";-;-;-;3
"270790 Santa Luzia do Norte";-;-;-;2
"270800 Santana do Ipanema";-;-;-;3
"270810 Santana do Mundaú";-;-;-;-
"270820 São Brás";-;-;-;-
"270830 São José da Laje";-;-;-;2
"270840 São José da Tapera";-;-;-;-
"270850 São Luís do Quitunde";-;-;-;2
"270860 São Miguel dos Campos";-;-;-;1
"270870 São Miguel dos Milagres";-;-;-;-
"270880 São Sebastião";-;-;-;-
"270890 Satuba";-;2;2;1
"270895 Senador Rui Palmeira";2;-;-;5
"270900 Tanque d'Arca";-;-;-;-
"270910 Taquarana";-;-;-;-
"270915 Teotônio Vilela";-;-;-;3
"270920 Traipu";-;-;-;-
"270930 União dos Palmares";-;1;1;-
"270940 Viçosa";-;-;-;-
"270000 Município ignorado - AL";-;-;-;-
"280010 Amparo de São Francisco";-;-;-;1
"280020 Aquidabã";-;-;-;-
"280030 Aracaju";15;17;13;85
"280040 Arauá";-;-;-;-
"280050 Areia Branca";2;-;-;4
"280060 Barra dos Coqueiros";-;-;-;-
"280067 Boquim";-;-;-;2
"280070 Brejo Grande";-;-;-;3
"280100 Campo do Brito";-;-;-;10
"280110 Canhoba";-;-;-;-
"280120 Canindé de São Francisco";-;-;-;-
"280130 Capela";-;-;-;-
"280140 Carira";-;-;-;3
"280150 Carmópolis";6;4;4;1
"280160 Cedro de São João";-;-;-;-
"280170 Cristinápolis";-;-;-;-
"280190 Cumbe";-;-;-;-
"280200 Divina Pastora";-;-;-;-
"280210 Estância";-;-;-;-
"280220 Feira Nova";-;-;-;-
"280230 Frei Paulo";-;-;-;-
"280240 Gararu";-;-;-;7
"280250 General Maynard";-;-;-;-
"280260 Gracho Cardoso";-;-;-;2
"280270 Ilha das Flores";-;-;-;8
"280280 Indiaroba";-;-;-;-
"280290 Itabaiana";3;8;2;3
"280300 Itabaianinha";5;7;6;-
"280310 Itabi";-;-;-;4
"280320 Itaporanga d'Ajuda";-;-;-;2
"280330 Japaratuba";-;-;-;-
"280340 Japoatã";-;-;-;-
"280350 Lagarto";2;3;2;15
"280360 Laranjeiras";-;-;-;2
"280370 Macambira";-;-;-;3
"280380 Malhada dos Bois";-;-;-;-
"280390 Malhador";-;-;-;-
"280400 Maruim";-;-;-;3
"280410 Moita Bonita";-;-;-;2
"280420 Monte Alegre de Sergipe";-;4;4;-
"280430 Muribeca";-;-;-;-
"280440 Neópolis";5;4;4;-
"280445 Nossa Senhora Aparecida";-;-;-;-
"280450 Nossa Senhora da Glória";-;-;-;2
"280460 Nossa Senhora das Dores";3;-;-;4
"280470 Nossa Senhora de Lourdes";-;-;-;7
"280480 Nossa Senhora do Socorro";1;-;-;9
"280490 Pacatuba";-;3;3;-
"280500 Pedra Mole";-;-;-;1
"280510 Pedrinhas";-;-;-;3
"280520 Pinhão";-;4;4;-
"280530 Pirambu";-;-;-;-
"280540 Poço Redondo";-;-;-;8
"280550 Poço Verde";-;-;-;2
"280560 Porto da Folha";1;-;-;-
"280570 Propriá";-;-;-;-
"280580 Riachão do Dantas";6;5;5;5
"280590 Riachuelo";-;-;-;-
"280600 Ribeirópolis";-;-;-;-
"280610 Rosário do Catete";-;-;-;-
"280620 Salgado";-;-;-;1
"280630 Santa Luzia do Itanhy";-;-;-;-
"280650 Santa Rosa de Lima";1;-;-;2
"280640 Santana do São Francisco";-;-;-;-
"280660 Santo Amaro das Brotas";-;-;-;2
"280670 São Cristóvão";3;-;10;19
"280680 São Domingos";-;-;-;-
"280690 São Francisco";-;-;-;-
"280700 São Miguel do Aleixo";-;-;-;3
"280710 Simão Dias";-;-;-;-
"280720 Siriri";-;-;-;6
"280730 Telha";-;-;-;-
"280740 Tobias Barreto";-;-;-;6
"280750 Tomar do Geru";-;-;-;-
"280760 Umbaúba";-;2;2;-
"280000 Município ignorado - SE";-;-;-;-
"290010 Abaíra";-;-;-;4
"290020 Abaré";-;-;-;2
"290030 Acajutiba";-;2;2;3
"290035 Adustina";-;-;-;15
"290040 Água Fria";1;-;-;-
"290060 Aiquara";-;-;-;-
"290070 Alagoinhas";1;-;-;19
"290080 Alcobaça";1;1;1;-
"290090 Almadina";-;-;-;4
"290100 Amargosa";-;-;-;4
"290110 Amélia Rodrigues";-;-;-;7
"290115 América Dourada";-;-;-;2
"290120 Anagé";-;3;2;-
"290130 Andaraí";-;-;-;11
"290135 Andorinha";-;-;-;4
"290140 Angical";-;3;3;-
"290150 Anguera";-;-;-;-
"290160 Antas";-;-;-;2
"290170 Antônio Cardoso";-;-;-;-
"290180 Antônio Gonçalves";-;3;-;-
"290190 Aporá";-;-;-;11
"290195 Apuarema";-;-;-;1
"290205 Araças";-;-;-;-
"290200 Aracatu";-;-;-;4
"290210 Araci";1;-;-;7
"290220 Aramari";-;-;-;2
"290225 Arataca";-;-;-;8
"290230 Aratuípe";-;-;-;-
"290240 Aurelino Leal";3;3;3;1
"290250 Baianópolis";-;-;-;2
"290260 Baixa Grande";-;-;-;2
"290265 Banzaê";-;-;-;6
"290270 Barra";-;-;-;-
"290280 Barra da Estiva";-;-;-;7
"290290 Barra do Choça";-;-;10;1
"290300 Barra do Mendes";-;-;-;-
"290310 Barra do Rocha";-;-;-;-
"290320 Barreiras";5;-;-;10
"290323 Barro Alto";-;-;-;-
"290330 Barro Preto";1;-;-;3
"290327 Barrocas";-;-;-;6
"290340 Belmonte";-;-;-;2
"290350 Belo Campo";-;-;-;6
"290360 Biritinga";-;-;-;-
"290370 Boa Nova";-;-;-;-
"290380 Boa Vista do Tupim";-;-;-;-
"290390 Bom Jesus da Lapa";-;-;-;1
"290395 Bom Jesus da Serra";-;-;-;2
"290400 Boninal";-;-;-;-
"290405 Bonito";-;-;-;1
"290410 Boquira";-;-;-;-
"290420 Botuporã";-;1;1;-
"290430 Brejões";3;2;2;2
"290440 Brejolândia";-;-;-;-
"290450 Brotas de Macaúbas";4;4;4;3
"290460 Brumado";6;-;-;8
"290470 Buerarema";-;-;-;-
"290475 Buritirama";-;-;-;3
"290480 Caatiba";-;-;-;-
"290485 Cabaceiras do Paraguaçu";1;1;1;8
"290490 Cachoeira";-;-;-;4
"290500 Caculé";-;-;-;14
"290510 Caém";-;2;1;-
"290515 Caetanos";3;6;6;9
"290520 Caetité";-;-;-;1
"290530 Cafarnaum";-;-;-;1
"290540 Cairu";-;-;-;6
"290550 Caldeirão Grande";-;-;-;2
"290560 Camacan";-;2;-;3
"290570 Camaçari";-;-;-;5
"290580 Camamu";1;-;-;5
"290590 Campo Alegre de Lourdes";-;2;2;-
"290600 Campo Formoso";-;-;-;10
"290610 Canápolis";-;-;-;6
"290620 Canarana";-;-;-;1
"290630 Canavieiras";-;-;-;-
"290640 Candeal";-;-;-;-
"290650 Candeias";-;-;-;-
"290660 Candiba";-;-;-;-
"290670 Cândido Sales";-;-;-;1
"290680 Cansanção";-;2;5;5
"290682 Canudos";-;-;-;2
"290685 Capela do Alto Alegre";-;-;-;2
"290687 Capim Grosso";3;2;-;21
"290689 Caraíbas";-;-;-;1
"290690 Caravelas";-;2;2;2
"290700 Cardeal da Silva";-;-;-;1
"290710 Carinhanha";-;-;-;6
"290720 Casa Nova";2;-;-;4
"290730 Castro Alves";2;2;2;-
"290740 Catolândia";-;-;-;4
"290750 Catu";6;-;2;5
"290755 Caturama";2;2;2;-
"290760 Central";-;2;4;2
"290770 Chorrochó";3;3;3;1
"290780 Cícero Dantas";-;-;-;4
"290790 Cipó";-;-;-;6
"290800 Coaraci";-;-;-;3
"290810 Cocos";-;-;-;2
"290820 Conceição da Feira";-;-;-;4
"290830 Conceição do Almeida";-;-;-;-
"290840 Conceição do Coité";3;-;-;10
"290850 Conceição do Jacuípe";-;-;-;11
"290860 Conde";-;-;-;11
"290870 Condeúba";-;-;-;-
"290880 Contendas do Sincorá";-;-;-;-
"290890 Coração de Maria";-;-;-;7
"290900 Cordeiros";-;-;-;-
"290910 Coribe";-;-;-;3
"290920 Coronel João Sá";2;4;4;1
"290930 Correntina";-;-;-;6
"290940 Cotegipe";-;-;-;-
"290950 Cravolândia";-;-;-;3
"290960 Crisópolis";-;-;-;-
"290970 Cristópolis";-;-;-;-
"290980 Cruz das Almas";-;2;1;4
"290990 Curaçá";4;3;4;-
"291000 Dário Meira";-;3;3;-
"291005 Dias d'Ávila";-;-;-;9
"291010 Dom Basílio";-;-;-;9
"291020 Dom Macedo Costa";-;-;-;6
"291030 Elísio Medrado";4;3;3;2
"291040 Encruzilhada";-;1;1;3
"291050 Entre Rios";1;1;1;8
"290050 Érico Cardoso";2;4;4;-
"291060 Esplanada";-;-;-;12
"291070 Euclides da Cunha";-;-;-;13
"291072 Eunápolis";4;3;3;16
"291075 Fátima";-;-;1;-
"291077 Feira da Mata";-;-;-;14
"291080 Feira de Santana";26;53;38;116
"291085 Filadélfia";3;-;-;6
"291090 Firmino Alves";-;-;-;1
"291100 Floresta Azul";-;-;-;-
"291110 Formosa do Rio Preto";-;-;-;4
"291120 Gandu";-;-;-;-
"291125 Gavião";-;-;-;2
"291130 Gentio do Ouro";-;-;-;-
"291140 Glória";-;-;-;6
"291150 Gongogi";-;-;-;-
"291160 Governador Mangabeira";-;1;1;8
"291165 Guajeru";-;-;-;2
"291170 Guanambi";-;-;-;28
"291180 Guaratinga";3;-;-;3
"291185 Heliópolis";-;-;-;3
"291190 Iaçu";-;-;-;8
"291200 Ibiassucê";-;-;-;-
"291210 Ibicaraí";-;2;2;-
"291220 Ibicoara";-;3;3;11
"291230 Ibicuí";-;-;-;-
"291240 Ibipeba";-;-;-;6
"291250 Ibipitanga";1;1;1;1
"291260 Ibiquera";-;-;-;-
"291270 Ibirapitanga";-;-;-;6
"291280 Ibirapuã";3;4;4;3
"291290 Ibirataia";-;-;-;3
"291300 Ibitiara";-;-;-;-
"291310 Ibititá";-;-;-;-
"291320 Ibotirama";-;-;-;7
"291330 Ichu";-;-;-;-
"291340 Igaporã";-;-;-;8
"291345 Igrapiúna";-;-;-;-
"291350 Iguaí";-;-;-;1
"291360 Ilhéus";13;9;5;32
"291370 Inhambupe";-;-;-;-
"291380 Ipecaetá";4;-;-;7
"291390 Ipiaú";-;-;-;1
"291400 Ipirá";-;-;-;11
"291410 Ipupiara";-;-;-;-
"291420 Irajuba";-;-;-;3
"291430 Iramaia";-;-;-;-
"291440 Iraquara";-;-;-;-
"291450 Irará";-;-;-;8
"291460 Irecê";-;-;-;10
"291465 Itabela";-;-;-;-
"291470 Itaberaba";-;-;-;11
"291480 Itabuna";5;8;8;51
"291490 Itacaré";-;-;-;-
"291500 Itaeté";-;3;3;5
"291510 Itagi";-;-;-;-
"291520 Itagibá";-;-;-;-
"291530 Itagimirim";-;-;-;-
"291535 Itaguaçu da Bahia";-;-;-;-
"291540 Itaju do Colônia";-;-;-;-
"291550 Itajuípe";-;-;-;-
"291560 Itamaraju";2;-;-;2
"291570 Itamari";-;-;-;2
"291580 Itambé";1;1;1;1
"291590 Itanagra";-;-;-;6
"291600 Itanhém";3;-;-;3
"291610 Itaparica";-;-;-;5
"291620 Itapé";-;3;-;4
"291630 Itapebi";-;-;-;1
"291640 Itapetinga";6;2;1;6
"291650 Itapicuru";-;-;-;-
"291660 Itapitanga";-;-;-;-
"291670 Itaquara";-;-;-;-
"291680 Itarantim";-;-;-;3
"291685 Itatim";-;-;-;-
"291690 Itiruçu";-;-;-;4
"291700 Itiúba";-;-;-;2
"291710 Itororó";-;-;-;1
"291720 Ituaçu";-;-;-;3
"291730 Ituberá";-;-;-;3
"291733 Iuiú";-;-;-;1
"291735 Jaborandi";-;-;-;-
"291740 Jacaraci";-;-;-;5
"291750 Jacobina";-;4;1;53
"291760 Jaguaquara";-;-;-;-
"291770 Jaguarari";2;3;2;1
"291780 Jaguaripe";-;-;-;-
"291790 Jandaíra";-;-;-;-
"291800 Jequié";-;3;3;17
"291810 Jeremoabo";-;-;-;1
"291820 Jiquiriçá";-;-;-;-
"291830 Jitaúna";-;2;2;3
"291835 João Dourado";-;-;-;4
"291840 Juazeiro";8;6;5;21
"291845 Jucuruçu";-;-;-;-
"291850 Jussara";-;-;-;3
"291855 Jussari";-;-;-;-
"291860 Jussiape";-;-;-;3
"291870 Lafaiete Coutinho";4;2;2;1
"291875 Lagoa Real";4;6;6;5
"291880 Laje";-;-;-;3
"291890 Lajedão";-;-;-;-
"291900 Lajedinho";-;-;-;5
"291905 Lajedo do Tabocal";-;-;-;5
"291910 Lamarão";-;-;-;-
"291915 Lapão";-;2;2;-
"291920 Lauro de Freitas";1;-;-;19
"291930 Lençóis";-;1;1;1
"291940 Licínio de Almeida";-;-;-;-
"291950 Livramento de Nossa Senhora";-;-;-;7
"291955 Luís Eduardo Magalhães";7;18;23;12
"291960 Macajuba";4;4;4;4
"291970 Macarani";-;-;-;-
"291980 Macaúbas";-;3;3;3
"291990 Macururé";-;-;-;-
"291992 Madre de Deus";-;-;-;-
"291995 Maetinga";-;-;-;6
"292000 Maiquinique";-;-;-;2
"292010 Mairi";-;-;-;12
"292020 Malhada";-;-;-;5
"292030 Malhada de Pedras";-;-;-;3
"292040 Manoel Vitorino";-;2;2;-
"292045 Mansidão";-;-;-;-
"292050 Maracás";-;-;-;4
"292060 Maragogipe";3;4;3;2
"292070 Maraú";-;-;-;-
"292080 Marcionílio Souza";-;-;-;-
"292090 Mascote";-;-;-;8
"292100 Mata de São João";2;2;2;3
"292105 Matina";-;-;-;-
"292110 Medeiros Neto";-;-;-;14
"292120 Miguel Calmon";-;-;-;3
"292130 Milagres";-;-;-;7
"292140 Mirangaba";-;-;-;1
"292145 Mirante";-;-;-;-
"292150 Monte Santo";3;3;3;12
"292160 Morpará";2;-;-;2
"292170 Morro do Chapéu";-;-;-;2
"292180 Mortugaba";-;-;-;1
"292190 Mucugê";-;-;-;-
"292200 Mucuri";3;2;2;3
